County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected
Jenkins,13165,1,0,0.0004,0.0,8683,0.00012
Long,13183,1,0,0.0004,0.0,18998,5e-05
Macon,13193,1,0,0.0004,0.0,13143,8e-05
Morgan,13211,1,0,0.0004,0.0,18853,5e-05
Schley,13249,1,0,0.0004,0.0,5236,0.00019
Taylor,13269,1,0,0.0004,0.0,8039,0.00012
Warren,13301,1,0,0.0004,0.0,5251,0.00019
Wheeler,13309,1,0,0.0004,0.0,7879,0.00013
White,13311,1,0,0.0004,0.0,29970,3e-05
Wilkes,13317,1,0,0.0004,0.0,9876,0.0001
