Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,484.38,0.02,484.38,0.02,0.0,0.0,04/27/2020
18-59,15015.78,0.62,14860.78,0.64,155.0,0.16,04/27/2020
60+,7992.27,0.33,7155.27,0.31,837.0,0.84,04/27/2020
Unknown,726.57,0.03,724.57,0.03,2.0,0.0,04/27/2020
