County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1495.0,50.0,04/12/2020
Dougherty,13095,1178.0,72.0,04/12/2020
Dekalb,13089,893.0,14.0,04/12/2020
Cobb,13067,728.0,35.0,04/12/2020
Gwinnett,13135,701.0,19.0,04/12/2020
Clayton,13063,372.0,11.0,04/12/2020
Hall,13139,282.0,0.0,04/12/2020
Henry,13151,263.0,3.0,04/12/2020
Lee,13177,244.0,15.0,04/12/2020
Sumter,13261,239.0,9.0,04/12/2020
Bartow,13015,213.0,16.0,04/12/2020
Carroll,13045,210.0,5.0,04/12/2020
Cherokee,13057,187.0,7.0,04/12/2020
Douglas,13097,159.0,5.0,04/12/2020
Muscogee,13215,156.0,4.0,04/12/2020
Chatham,13051,148.0,5.0,04/12/2020
Richmond,13245,144.0,4.0,04/12/2020
Mitchell,13205,138.0,14.0,04/12/2020
Forsyth,13117,133.0,5.0,04/12/2020
Early,13099,125.0,6.0,04/12/2020
Houston,13153,121.0,7.0,04/12/2020
Randolph,13243,111.0,5.0,04/12/2020
Terrell,13273,109.0,10.0,04/12/2020
Floyd,13115,108.0,5.0,04/12/2020
Coweta,13077,106.0,2.0,04/12/2020
Fayette,13113,100.0,4.0,04/12/2020
Rockdale,13247,97.0,2.0,04/12/2020
Colquitt,13071,87.0,5.0,04/12/2020
Worth,13321,87.0,4.0,04/12/2020
Clarke,13059,84.0,11.0,04/12/2020
Paulding,13223,84.0,2.0,04/12/2020
Newton,13217,82.0,3.0,04/12/2020
Thomas,13275,77.0,3.0,04/12/2020
Spalding,13255,73.0,4.0,04/12/2020
Bibb,13021,70.0,1.0,04/12/2020
Columbia,13073,69.0,0.0,04/12/2020
Crisp,13081,69.0,0.0,04/12/2020
Troup,13285,60.0,3.0,04/12/2020
Lowndes,13185,59.0,2.0,04/12/2020
Tift,13277,59.0,1.0,04/12/2020
Coffee,13069,58.0,3.0,04/12/2020
Upson,13293,56.0,1.0,04/12/2020
Barrow,13013,55.0,3.0,04/12/2020
Ware,13299,54.0,4.0,04/12/2020
Baldwin,13009,53.0,2.0,04/12/2020
Calhoun,13037,45.0,2.0,04/12/2020
Pierce,13229,45.0,2.0,04/12/2020
Dooly,13093,44.0,2.0,04/12/2020
Walton,13297,42.0,2.0,04/12/2020
Gordon,13129,38.0,3.0,04/12/2020
Oconee,13219,38.0,0.0,04/12/2020
Turner,13287,37.0,0.0,04/12/2020
Laurens,13175,34.0,1.0,04/12/2020
Glynn,13127,33.0,0.0,04/12/2020
Bryan,13029,29.0,1.0,04/12/2020
Butts,13035,29.0,0.0,04/12/2020
Decatur,13087,29.0,0.0,04/12/2020
Burke,13033,28.0,1.0,04/12/2020
Jackson,13157,27.0,1.0,04/12/2020
Dawson,13085,26.0,2.0,04/12/2020
Greene,13133,26.0,1.0,04/12/2020
Polk,13233,25.0,0.0,04/12/2020
Whitfield,13313,24.0,3.0,04/12/2020
Wilcox,13315,24.0,0.0,04/12/2020
Macon,13193,23.0,0.0,04/12/2020
Mcduffie,13189,23.0,2.0,04/12/2020
Meriwether,13199,23.0,0.0,04/12/2020
Peach,13225,23.0,2.0,04/12/2020
Effingham,13103,22.0,1.0,04/12/2020
Washington,13303,22.0,0.0,04/12/2020
Camden,13039,21.0,0.0,04/12/2020
Harris,13145,20.0,1.0,04/12/2020
Brooks,13027,19.0,1.0,04/12/2020
Johnson,13167,19.0,1.0,04/12/2020
Bulloch,13031,17.0,1.0,04/12/2020
Lamar,13171,17.0,0.0,04/12/2020
Liberty,13179,17.0,0.0,04/12/2020
Stephens,13257,17.0,0.0,04/12/2020
Clay,13061,16.0,1.0,04/12/2020
Haralson,13143,16.0,0.0,04/12/2020
Pike,13231,16.0,0.0,04/12/2020
Grady,13131,15.0,0.0,04/12/2020
Seminole,13253,15.0,0.0,04/12/2020
Bacon,13005,14.0,0.0,04/12/2020
Baker,13007,14.0,2.0,04/12/2020
Habersham,13137,14.0,1.0,04/12/2020
Morgan,13211,14.0,0.0,04/12/2020
Murray,13213,14.0,0.0,04/12/2020
Catoosa,13047,13.0,0.0,04/12/2020
Dodge,13091,13.0,0.0,04/12/2020
Jones,13169,12.0,0.0,04/12/2020
Monroe,13207,12.0,1.0,04/12/2020
Oglethorpe,13221,12.0,1.0,04/12/2020
Schley,13249,12.0,1.0,04/12/2020
Irwin,13155,11.0,0.0,04/12/2020
Miller,13201,11.0,0.0,04/12/2020
Pickens,13227,11.0,2.0,04/12/2020
Toombs,13279,11.0,1.0,04/12/2020
White,13311,11.0,0.0,04/12/2020
Wilkinson,13319,11.0,1.0,04/12/2020
Appling,13001,10.0,0.0,04/12/2020
Madison,13195,10.0,1.0,04/12/2020
Marion,13197,10.0,0.0,04/12/2020
Fannin,13111,9.0,0.0,04/12/2020
Jenkins,13165,9.0,1.0,04/12/2020
Lincoln,13181,9.0,0.0,04/12/2020
Lumpkin,13187,9.0,0.0,04/12/2020
Pulaski,13235,9.0,0.0,04/12/2020
Talbot,13263,9.0,1.0,04/12/2020
Telfair,13271,9.0,0.0,04/12/2020
Ben Hill,13017,8.0,0.0,04/12/2020
Brantley,13025,8.0,1.0,04/12/2020
Emanuel,13107,8.0,0.0,04/12/2020
Jasper,13159,8.0,0.0,04/12/2020
Banks,13011,7.0,0.0,04/12/2020
Chattooga,13055,7.0,1.0,04/12/2020
Cook,13075,7.0,0.0,04/12/2020
Gilmer,13123,7.0,0.0,04/12/2020
Screven,13251,7.0,0.0,04/12/2020
Stewart,13259,7.0,0.0,04/12/2020
Taylor,13269,7.0,2.0,04/12/2020
Union,13291,7.0,1.0,04/12/2020
Warren,13301,7.0,0.0,04/12/2020
Berrien,13019,6.0,0.0,04/12/2020
Jefferson,13163,6.0,1.0,04/12/2020
Putnam,13237,6.0,0.0,04/12/2020
Rabun,13241,6.0,0.0,04/12/2020
Walker,13295,6.0,0.0,04/12/2020
Wilkes,13317,6.0,0.0,04/12/2020
Lanier,13173,5.0,0.0,04/12/2020
Tattnall,13267,5.0,0.0,04/12/2020
Candler,13043,4.0,0.0,04/12/2020
Franklin,13119,4.0,0.0,04/12/2020
Heard,13149,4.0,1.0,04/12/2020
Wayne,13305,4.0,0.0,04/12/2020
Charlton,13049,3.0,0.0,04/12/2020
Chattahoochee,13053,3.0,0.0,04/12/2020
Clinch,13065,3.0,0.0,04/12/2020
Crawford,13079,3.0,0.0,04/12/2020
Elbert,13105,3.0,0.0,04/12/2020
Hancock,13141,3.0,0.0,04/12/2020
Hart,13147,3.0,0.0,04/12/2020
Mcintosh,13191,3.0,0.0,04/12/2020
Quitman,13239,3.0,0.0,04/12/2020
Towns,13281,3.0,0.0,04/12/2020
Webster,13307,3.0,0.0,04/12/2020
Atkinson,13003,2.0,0.0,04/12/2020
Dade,13083,2.0,1.0,04/12/2020
Echols,13101,2.0,0.0,04/12/2020
Montgomery,13209,2.0,0.0,04/12/2020
Twiggs,13289,2.0,0.0,04/12/2020
Wheeler,13309,2.0,0.0,04/12/2020
Bleckley,13023,1.0,0.0,04/12/2020
Evans,13109,1.0,0.0,04/12/2020
Jeff Davis,13161,1.0,0.0,04/12/2020
Long,13183,1.0,0.0,04/12/2020
Treutlen,13283,1.0,0.0,04/12/2020
Unknown,0,613.0,0.0,04/12/2020
Glascock,13125,,,04/12/2020
Taliaferro,13265,,,04/12/2020
