Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,73.14,0.01,,,,,2020-04-06 11:28:04
18-59,4388.4,0.6,4342.4,0.61,46.0,0.2,2020-04-06 11:28:04
60+,2559.9,0.35,2377.9,0.34,182.0,0.79,2020-04-06 11:28:04
Unknown,292.56,0.04,291.56,0.04,1.0,0.0,2020-04-06 11:28:04
