Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,189.47,0.01,189.47,0.01,0.0,0.0,04/20/2020
18-59,11747.14,0.62,11625.14,0.64,122.0,0.17,04/20/2020
60+,6441.98,0.34,5832.98,0.32,609.0,0.83,04/20/2020
Unknown,568.41,0.03,566.41,0.03,2.0,0.0,04/20/2020
