Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,193.98,0.01,193.98,0.01,0.0,0.0,04/20/2020
18-59,12026.76,0.62,11900.76,0.64,126.0,0.16,04/20/2020
60+,6595.32,0.34,5951.32,0.32,644.0,0.83,04/20/2020
Unknown,581.94,0.03,577.94,0.03,4.0,0.01,04/20/2020
