Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,67.42,0.01,67.42,0.01,0,0,05/04/2020 18:27
18-59,3977.78,0.59,3932.78,0.6,45,0.21,05/04/2020 18:27
60+,2427.12,0.36,2255.12,0.35,172,0.79,05/04/2020 18:27
Unknown,269.68,0.04,267.68,0.04,2,0.01,05/04/2020 18:27
