Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,118.59,0.01,118.59,0.01,0.0,0.0,04/10/2020
18-59,7233.99,0.61,7166.99,0.63,67.0,0.16,04/10/2020
60+,4150.65,0.35,3792.65,0.33,358.0,0.84,04/10/2020
Unknown,355.77,0.03,355.77,0.03,0.0,0.0,04/10/2020
