County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Bleckley,2020-01-04 18:28:00,0.0,0.0,8.0,0.0,0.0002,8e-05,12838.0,1.0,0.0,13023.0
Brooks,2020-01-04 18:28:00,0.0,0.0,13.0,0.0,0.0004,0.00013000000000000002,15513.0,2.0,0.0,13027.0
Bryan,2020-01-04 18:28:00,11.0,3.0,24.0,0.1111,0.0019,0.00024,38109.0,9.0,1.0,13029.0
Bulloch,2020-01-04 18:28:00,0.0,0.0,3.0,0.0,0.0004,3e-05,77296.0,2.0,0.0,13031.0
Clay,2020-01-04 18:28:00,0.0,0.0,173.0,0.0,0.0011,0.00173,2887.0,5.0,0.0,13061.0
Clarke,2020-01-04 18:28:00,13.0,5.0,42.0,0.1296,0.0114,0.00042,127330.0,54.0,7.0,13059.0
Cherokee,2020-01-04 18:28:00,5.0,2.0,33.0,0.0471,0.0179,0.00033,254149.0,85.0,4.0,13057.0
Chattooga,2020-01-04 18:28:00,0.0,0.0,12.0,0.0,0.0006,0.00012,24790.0,3.0,0.0,13055.0
Chattahoochee,2020-01-04 18:28:00,0.0,0.0,19.0,0.0,0.0004,0.00019,10684.0,2.0,0.0,13053.0
Chatham,2020-01-04 18:28:00,5.0,1.0,13.0,0.0513,0.0082,0.00013000000000000002,289195.0,39.0,2.0,13051.0
Clinch,2020-01-04 18:28:00,0.0,0.0,15.0,0.0,0.0002,0.00015,6648.0,1.0,0.0,13065.0
Charlton,2020-01-04 18:28:00,0.0,0.0,8.0,0.0,0.0002,8e-05,12968.0,1.0,0.0,13049.0
Carroll,2020-01-04 18:28:00,2.0,2.0,113.0,0.015,0.028,0.00113,118121.0,133.0,2.0,13045.0
Candler,2020-01-04 18:28:00,0.0,0.0,9.0,0.0,0.0002,9e-05,10836.0,1.0,0.0,13043.0
Camden,2020-01-04 18:28:00,0.0,0.0,9.0,0.0,0.0011,9e-05,53677.0,5.0,0.0,13039.0
Calhoun,2020-01-04 18:28:00,10.0,16.0,157.0,0.1,0.0021,0.00157,6352.0,10.0,1.0,13037.0
