Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,98.81,0.01,,,,,2020-04-08 11:56:37
18-59,5928.6,0.6,5861.6,0.62,67.0,0.19,2020-04-08 11:56:37
60+,3458.35,0.35,3164.35,0.33,294.0,0.81,2020-04-08 11:56:37
Unknown,395.24,0.04,394.24,0.04,1.0,0.0,2020-04-08 11:56:37
