County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,6.0,0.0,0.0006,0.0,18507.0,0.00032,32.0,0.0,0.0,2020-04-08 11:56:37
Atkinson,13003,4.0,0.0,0.0004,0.0,8297.0,0.00048,48.0,0.0,0.0,2020-04-08 11:56:37
Bacon,13005,12.0,0.0,0.0012,0.0,11185.0,0.00107,107.0,0.0,0.0,2020-04-08 11:56:37
Baker,13007,9.0,2.0,0.0009,0.2222,3092.0,0.00291,291.0,65.0,22.0,2020-04-08 11:56:37
Baldwin,13009,27.0,1.0,0.0027,0.037,44823.0,0.0006,60.0,2.0,4.0,2020-04-08 11:56:37
Banks,13011,4.0,0.0,0.0004,0.0,18988.0,0.00021,21.0,0.0,0.0,2020-04-08 11:56:37
Barrow,13013,42.0,3.0,0.0043,0.0714,80809.0,0.00052,52.0,4.0,7.0,2020-04-08 11:56:37
Bartow,13015,192.0,12.0,0.0194,0.0625,106408.0,0.0018,180.0,11.0,6.0,2020-04-08 11:56:37
Ben Hill,13017,6.0,0.0,0.0006,0.0,16787.0,0.00036,36.0,0.0,0.0,2020-04-08 11:56:37
Berrien,13019,4.0,0.0,0.0004,0.0,19252.0,0.00021,21.0,0.0,0.0,2020-04-08 11:56:37
Bibb,13021,50.0,1.0,0.0051,0.02,153095.0,0.00033,33.0,1.0,2.0,2020-04-08 11:56:37
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-08 11:56:37
Brantley,13025,5.0,1.0,0.0005,0.2,18897.0,0.00026,26.0,5.0,20.0,2020-04-08 11:56:37
Brooks,13027,16.0,1.0,0.0016,0.0625,15513.0,0.00103,103.0,6.0,6.0,2020-04-08 11:56:37
Bryan,13029,26.0,2.0,0.0026,0.0769,38109.0,0.00068,68.0,5.0,8.0,2020-04-08 11:56:37
Bulloch,13031,12.0,0.0,0.0012,0.0,77296.0,0.00016,16.0,0.0,0.0,2020-04-08 11:56:37
Burke,13033,17.0,0.0,0.0017,0.0,22423.0,0.00076,76.0,0.0,0.0,2020-04-08 11:56:37
Butts,13035,20.0,0.0,0.002,0.0,24193.0,0.00083,83.0,0.0,0.0,2020-04-08 11:56:37
Calhoun,13037,31.0,1.0,0.0031,0.0323,6352.0,0.00488,488.0,16.0,3.0,2020-04-08 11:56:37
Camden,13039,17.0,0.0,0.0017,0.0,53677.0,0.00032,32.0,0.0,0.0,2020-04-08 11:56:37
