Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,5236.93,0.53,145,2020-04-08 11:56:37
Male,4347.64,0.44,216,2020-04-08 11:56:37
Unknown,296.43,0.03,1,2020-04-08 11:56:37
