Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,573.3,0.02,573.3,0.02,0.0,0.0,05/03/2020
18-59,18058.95,0.63,17879.95,0.65,179.0,0.15,05/03/2020
60+,9459.45,0.33,8460.45,0.31,999.0,0.85,05/03/2020
Unknown,573.3,0.02,572.3,0.02,1.0,0.0,05/03/2020
