County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2978.0,122.0,05/03/2020
Dekalb,13089,2181.0,52.0,05/03/2020
Gwinnett,13135,1974.0,58.0,05/03/2020
Cobb,13067,1768.0,97.0,05/03/2020
Hall,13139,1698.0,23.0,05/03/2020
Dougherty,13095,1536.0,124.0,05/03/2020
Clayton,13063,793.0,33.0,05/03/2020
Henry,13151,520.0,13.0,05/03/2020
Cherokee,13057,490.0,13.0,05/03/2020
Richmond,13245,417.0,16.0,05/03/2020
Sumter,13261,388.0,28.0,05/03/2020
Carroll,13045,386.0,14.0,05/03/2020
Habersham,13137,342.0,8.0,05/03/2020
Douglas,13097,341.0,11.0,05/03/2020
Forsyth,13117,330.0,10.0,05/03/2020
Lee,13177,327.0,20.0,05/03/2020
Muscogee,13215,327.0,7.0,05/03/2020
Bartow,13015,325.0,31.0,05/03/2020
Bibb,13021,323.0,11.0,05/03/2020
Mitchell,13205,319.0,31.0,05/03/2020
Houston,13153,242.0,14.0,05/03/2020
Chatham,13051,234.0,9.0,05/03/2020
Baldwin,13009,232.0,8.0,05/03/2020
Upson,13293,230.0,20.0,05/03/2020
Coweta,13077,229.0,4.0,05/03/2020
Spalding,13255,220.0,10.0,05/03/2020
Early,13099,218.0,20.0,05/03/2020
Newton,13217,208.0,7.0,05/03/2020
Rockdale,13247,196.0,6.0,05/03/2020
Paulding,13223,195.0,8.0,05/03/2020
Thomas,13275,192.0,19.0,05/03/2020
Colquitt,13071,188.0,10.0,05/03/2020
Terrell,13273,186.0,19.0,05/03/2020
Fayette,13113,183.0,10.0,05/03/2020
Crisp,13081,169.0,3.0,05/03/2020
Columbia,13073,164.0,4.0,05/03/2020
Randolph,13243,163.0,19.0,05/03/2020
Worth,13321,162.0,11.0,05/03/2020
Barrow,13013,159.0,4.0,05/03/2020
Lowndes,13185,158.0,4.0,05/03/2020
Clarke,13059,156.0,13.0,05/03/2020
Troup,13285,154.0,4.0,05/03/2020
Butts,13035,151.0,16.0,05/03/2020
Coffee,13069,146.0,7.0,05/03/2020
Floyd,13115,145.0,11.0,05/03/2020
Walton,13297,133.0,4.0,05/03/2020
Dooly,13093,132.0,9.0,05/03/2020
Ware,13299,130.0,11.0,05/03/2020
Tift,13277,127.0,5.0,05/03/2020
Whitfield,13313,120.0,4.0,05/03/2020
Gordon,13129,113.0,12.0,05/03/2020
Jackson,13157,108.0,2.0,05/03/2020
Calhoun,13037,107.0,4.0,05/03/2020
Decatur,13087,91.0,1.0,05/03/2020
Wilcox,13315,90.0,9.0,05/03/2020
Stephens,13257,87.0,1.0,05/03/2020
Burke,13033,86.0,3.0,05/03/2020
Macon,13193,80.0,3.0,05/03/2020
White,13311,78.0,0.0,05/03/2020
Gilmer,13123,73.0,0.0,05/03/2020
Appling,13001,72.0,5.0,05/03/2020
Turner,13287,69.0,9.0,05/03/2020
