County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1902.0,63.0,04/15/2020
Dougherty,13095,1320.0,84.0,04/15/2020
Dekalb,13089,1225.0,16.0,04/15/2020
Cobb,13067,950.0,44.0,04/15/2020
Gwinnett,13135,885.0,32.0,04/15/2020
Clayton,13063,462.0,13.0,04/15/2020
Hall,13139,402.0,5.0,04/15/2020
Henry,13151,328.0,5.0,04/15/2020
Sumter,13261,276.0,13.0,04/15/2020
Lee,13177,264.0,15.0,04/15/2020
Carroll,13045,242.0,7.0,04/15/2020
Bartow,13015,237.0,20.0,04/15/2020
Cherokee,13057,232.0,8.0,04/15/2020
Douglas,13097,201.0,6.0,04/15/2020
Muscogee,13215,182.0,4.0,04/15/2020
Mitchell,13205,176.0,20.0,04/15/2020
Richmond,13245,169.0,8.0,04/15/2020
Chatham,13051,160.0,5.0,04/15/2020
Forsyth,13117,157.0,5.0,04/15/2020
Early,13099,145.0,6.0,04/15/2020
Houston,13153,142.0,9.0,04/15/2020
Upson,13293,139.0,5.0,04/15/2020
Coweta,13077,138.0,3.0,04/15/2020
Terrell,13273,137.0,11.0,04/15/2020
Randolph,13243,131.0,7.0,04/15/2020
Fayette,13113,122.0,5.0,04/15/2020
Floyd,13115,120.0,6.0,04/15/2020
Paulding,13223,118.0,5.0,04/15/2020
Newton,13217,113.0,3.0,04/15/2020
Worth,13321,111.0,4.0,04/15/2020
Thomas,13275,109.0,9.0,04/15/2020
Bibb,13021,108.0,1.0,04/15/2020
Rockdale,13247,107.0,6.0,04/15/2020
Clarke,13059,102.0,12.0,04/15/2020
Spalding,13255,96.0,5.0,04/15/2020
Baldwin,13009,93.0,2.0,04/15/2020
Crisp,13081,93.0,1.0,04/15/2020
Colquitt,13071,90.0,5.0,04/15/2020
Columbia,13073,79.0,0.0,04/15/2020
Tift,13277,76.0,2.0,04/15/2020
Lowndes,13185,75.0,3.0,04/15/2020
Troup,13285,72.0,4.0,04/15/2020
Barrow,13013,68.0,3.0,04/15/2020
Ware,13299,67.0,5.0,04/15/2020
Coffee,13069,65.0,3.0,04/15/2020
Calhoun,13037,59.0,2.0,04/15/2020
Dooly,13093,55.0,4.0,04/15/2020
Walton,13297,54.0,3.0,04/15/2020
Decatur,13087,51.0,0.0,04/15/2020
Gordon,13129,48.0,5.0,04/15/2020
Pierce,13229,48.0,2.0,04/15/2020
Turner,13287,46.0,1.0,04/15/2020
Habersham,13137,44.0,2.0,04/15/2020
Oconee,13219,44.0,0.0,04/15/2020
Glynn,13127,43.0,0.0,04/15/2020
Dawson,13085,37.0,2.0,04/15/2020
Macon,13193,37.0,0.0,04/15/2020
Butts,13035,36.0,0.0,04/15/2020
Jackson,13157,35.0,1.0,04/15/2020
Laurens,13175,35.0,1.0,04/15/2020
Greene,13133,34.0,1.0,04/15/2020
Whitfield,13313,32.0,3.0,04/15/2020
Mcduffie,13189,31.0,2.0,04/15/2020
Oglethorpe,13221,31.0,1.0,04/15/2020
Bryan,13029,30.0,2.0,04/15/2020
Wilcox,13315,30.0,0.0,04/15/2020
Burke,13033,28.0,2.0,04/15/2020
Meriwether,13199,28.0,0.0,04/15/2020
Harris,13145,27.0,1.0,04/15/2020
Polk,13233,27.0,0.0,04/15/2020
Liberty,13179,26.0,0.0,04/15/2020
Peach,13225,25.0,2.0,04/15/2020
Pike,13231,25.0,1.0,04/15/2020
Camden,13039,24.0,0.0,04/15/2020
Effingham,13103,24.0,1.0,04/15/2020
Stephens,13257,24.0,0.0,04/15/2020
Grady,13131,23.0,1.0,04/15/2020
Bulloch,13031,22.0,1.0,04/15/2020
Washington,13303,22.0,0.0,04/15/2020
Brooks,13027,21.0,2.0,04/15/2020
Johnson,13167,21.0,1.0,04/15/2020
Lamar,13171,21.0,0.0,04/15/2020
Haralson,13143,19.0,1.0,04/15/2020
Miller,13201,19.0,0.0,04/15/2020
Seminole,13253,19.0,1.0,04/15/2020
Dodge,13091,18.0,0.0,04/15/2020
Baker,13007,17.0,2.0,04/15/2020
Catoosa,13047,17.0,0.0,04/15/2020
Clay,13061,17.0,2.0,04/15/2020
Marion,13197,17.0,0.0,04/15/2020
Morgan,13211,17.0,0.0,04/15/2020
Murray,13213,17.0,0.0,04/15/2020
Toombs,13279,17.0,1.0,04/15/2020
Jones,13169,15.0,0.0,04/15/2020
Appling,13001,14.0,0.0,04/15/2020
Bacon,13005,14.0,0.0,04/15/2020
Brantley,13025,14.0,1.0,04/15/2020
Fannin,13111,14.0,0.0,04/15/2020
Monroe,13207,14.0,1.0,04/15/2020
Pickens,13227,14.0,2.0,04/15/2020
White,13311,14.0,0.0,04/15/2020
Wilkinson,13319,14.0,1.0,04/15/2020
Madison,13195,13.0,1.0,04/15/2020
Schley,13249,13.0,1.0,04/15/2020
Talbot,13263,13.0,1.0,04/15/2020
Walker,13295,13.0,0.0,04/15/2020
