Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,437.66,0.02,437.66,0.02,0.0,0.0,04/23/2020
18-59,13567.46,0.62,13429.46,0.64,138.0,0.16,04/23/2020
60+,7440.22,0.34,6698.22,0.32,742.0,0.84,04/23/2020
Unknown,437.66,0.02,436.66,0.02,1.0,0.0,04/23/2020
