Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,1852.65,0.45,55,2020-03-31 18:28:21
Male,1729.14,0.42,65,2020-03-31 18:28:21
Unknown,123.51,0.03,5,2020-03-31 18:28:21
