Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,41.17,0.01,41.17,0.01,0,0,31/03/2020 18:28
18-59,2387.86,0.58,2362.86,0.59,25,0.2,31/03/2020 18:28
60+,1440.95,0.35,1347.95,0.34,93,0.74,31/03/2020 18:28
Unknown,247.02,0.06,240.02,0.06,7,0.06,31/03/2020 18:28
