Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,88.18,0.01,,,,,2020-04-07 11:28:11
18-59,5202.62,0.59,5140.62,0.61,62.0,0.19,2020-04-07 11:28:11
60+,3174.48,0.36,2908.48,0.34,266.0,0.81,2020-04-07 11:28:11
Unknown,352.72,0.04,351.72,0.04,1.0,0.0,2020-04-07 11:28:11
