Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,4673.54,0.53,134.0,2020-04-07 11:28:11
Male,3968.1,0.45,195.0,2020-04-07 11:28:11
Unknown,176.36,0.02,,2020-04-07 11:28:11
