County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,6.0,0.0,0.0007,0.0,18507.0,0.00032,32.0,0.0,0.0,2020-04-07 11:28:11
Atkinson,13003,4.0,0.0,0.0005,0.0,8297.0,0.00048,48.0,0.0,0.0,2020-04-07 11:28:11
Bacon,13005,10.0,0.0,0.0011,0.0,11185.0,0.00089,89.0,0.0,0.0,2020-04-07 11:28:11
Baker,13007,9.0,1.0,0.001,0.1111,3092.0,0.00291,291.0,32.0,11.0,2020-04-07 11:28:11
Baldwin,13009,26.0,1.0,0.0029,0.0385,44823.0,0.00058,58.0,2.0,4.0,2020-04-07 11:28:11
Banks,13011,3.0,0.0,0.0003,0.0,18988.0,0.00016,16.0,0.0,0.0,2020-04-07 11:28:11
Barrow,13013,40.0,3.0,0.0045,0.075,80809.0,0.00049,49.0,4.0,8.0,2020-04-07 11:28:11
Bartow,13015,187.0,11.0,0.0212,0.0588,106408.0,0.00176,176.0,10.0,6.0,2020-04-07 11:28:11
Ben Hill,13017,6.0,0.0,0.0007,0.0,16787.0,0.00036,36.0,0.0,0.0,2020-04-07 11:28:11
Berrien,13019,4.0,0.0,0.0005,0.0,19252.0,0.00021,21.0,0.0,0.0,2020-04-07 11:28:11
Bibb,13021,42.0,1.0,0.0048,0.0238,153095.0,0.00027,27.0,1.0,2.0,2020-04-07 11:28:11
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-07 11:28:11
Brantley,13025,3.0,1.0,0.0003,0.3333,18897.0,0.00016,16.0,5.0,33.0,2020-04-07 11:28:11
Brooks,13027,6.0,0.0,0.0007,0.0,15513.0,0.00039,39.0,0.0,0.0,2020-04-07 11:28:11
Bryan,13029,26.0,2.0,0.0029,0.0769,38109.0,0.00068,68.0,5.0,8.0,2020-04-07 11:28:11
Bulloch,13031,10.0,0.0,0.0011,0.0,77296.0,0.00013,13.0,0.0,0.0,2020-04-07 11:28:11
Burke,13033,14.0,0.0,0.0016,0.0,22423.0,0.00062,62.0,0.0,0.0,2020-04-07 11:28:11
Butts,13035,17.0,0.0,0.0019,0.0,24193.0,0.0007,70.0,0.0,0.0,2020-04-07 11:28:11
Calhoun,13037,28.0,1.0,0.0032,0.0357,6352.0,0.00441,441.0,16.0,4.0,2020-04-07 11:28:11
