Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,2780.96,0.52,67,2020-04-02 11:28:33
Male,2460.08,0.46,93,2020-04-02 11:28:33
Unknown,106.96000000000001,0.02,2,2020-04-02 11:28:33
