County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,PctPopInfected,Date
Long,13183,1.0,0.0,0.0002,0.0,18998.0,5.0,0.0,0.0,5e-05,2020-04-02 11:28:33
Lowndes,13185,25.0,1.0,0.0047,0.04,116321.0,21.0,1.0,4.0,0.00021,2020-04-02 11:28:33
Lumpkin,13187,7.0,0.0,0.0013,0.0,32955.0,21.0,0.0,0.0,0.00021,2020-04-02 11:28:33
Macon,13193,2.0,0.0,0.0004,0.0,13143.0,15.0,0.0,0.0,0.00015,2020-04-02 11:28:33
Madison,13195,4.0,1.0,0.0007,0.25,29650.0,13.0,3.0,25.0,0.00013,2020-04-02 11:28:33
Marion,13197,0.0,0.0,0.0,0.0,8351.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Mcduffie,13189,4.0,1.0,0.0007,0.25,21531.0,19.0,5.0,25.0,0.00019,2020-04-02 11:28:33
Mcintosh,13191,1.0,0.0,0.0002,0.0,14340.0,7.0,0.0,0.0,7e-05,2020-04-02 11:28:33
Meriwether,13199,9.0,0.0,0.0017,0.0,21068.0,43.0,0.0,0.0,0.00043,2020-04-02 11:28:33
Miller,13201,4.0,0.0,0.0007,0.0,5686.0,70.0,0.0,0.0,0.0007,2020-04-02 11:28:33
Mitchell,13205,39.0,1.0,0.0073,0.0256,22192.0,176.0,5.0,3.0,0.00176,2020-04-02 11:28:33
Monroe,13207,6.0,0.0,0.0011,0.0,27520.0,22.0,0.0,0.0,0.00022,2020-04-02 11:28:33
Montgomery,13209,0.0,0.0,0.0,0.0,9193.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Morgan,13211,2.0,0.0,0.0004,0.0,18853.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Murray,13213,6.0,0.0,0.0011,0.0,39921.0,15.0,0.0,0.0,0.00015,2020-04-02 11:28:33
Muscogee,13215,25.0,0.0,0.0047,0.0,194160.0,13.0,0.0,0.0,0.00013,2020-04-02 11:28:33
Newton,13217,36.0,0.0,0.0067,0.0,109541.0,33.0,0.0,0.0,0.00033,2020-04-02 11:28:33
Oconee,13219,18.0,0.0,0.0034,0.0,39272.0,46.0,0.0,0.0,0.00046,2020-04-02 11:28:33
Oglethorpe,13221,1.0,1.0,0.0002,1.0,15054.0,7.0,7.0,100.0,7e-05,2020-04-02 11:28:33
Paulding,13223,33.0,0.0,0.0062,0.0,164044.0,20.0,0.0,0.0,0.0002,2020-04-02 11:28:33
Peach,13225,7.0,1.0,0.0013,0.1429,27297.0,26.0,4.0,14.0,0.00026,2020-04-02 11:28:33
Pickens,13227,8.0,1.0,0.0015,0.125,31980.0,25.0,3.0,12.0,0.00025,2020-04-02 11:28:33
Pierce,13229,10.0,0.0,0.0019,0.0,19389.0,52.0,0.0,0.0,0.00052,2020-04-02 11:28:33
Pike,13231,2.0,0.0,0.0004,0.0,18634.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Polk,13233,16.0,0.0,0.003,0.0,42470.0,38.0,0.0,0.0,0.00038,2020-04-02 11:28:33
Pulaski,13235,4.0,0.0,0.0007,0.0,11069.0,36.0,0.0,0.0,0.00036,2020-04-02 11:28:33
Putnam,13237,2.0,0.0,0.0004,0.0,21809.0,9.0,0.0,0.0,9e-05,2020-04-02 11:28:33
Quitman,13239,0.0,0.0,0.0,0.0,2279.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Rabun,13241,2.0,0.0,0.0004,0.0,16867.0,12.0,0.0,0.0,0.00012,2020-04-02 11:28:33
Randolph,13243,4.0,0.0,0.0007,0.0,6833.0,59.0,0.0,0.0,0.00059,2020-04-02 11:28:33
Richmond,13245,41.0,1.0,0.0077,0.0244,201554.0,20.0,0.0,2.0,0.0002,2020-04-02 11:28:33
Rockdale,13247,54.0,2.0,0.0101,0.037,90594.0,60.0,2.0,4.0,0.0006,2020-04-02 11:28:33
Schley,13249,3.0,0.0,0.0006,0.0,5236.0,57.0,0.0,0.0,0.00057,2020-04-02 11:28:33
Screven,13251,2.0,0.0,0.0004,0.0,13938.0,14.0,0.0,0.0,0.00014,2020-04-02 11:28:33
Seminole,13253,6.0,0.0,0.0011,0.0,8315.0,72.0,0.0,0.0,0.00072,2020-04-02 11:28:33
Spalding,13255,18.0,1.0,0.0034,0.0556,66100.0,27.0,2.0,6.0,0.00027,2020-04-02 11:28:33
Stephens,13257,5.0,0.0,0.0009,0.0,26035.0,19.0,0.0,0.0,0.00019,2020-04-02 11:28:33
Stewart,13259,1.0,0.0,0.0002,0.0,6199.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Sumter,13261,45.0,3.0,0.0084,0.0667,29733.0,151.0,10.0,7.0,0.00151,2020-04-02 11:28:33
Talbot,13263,1.0,0.0,0.0002,0.0,6272.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Taliaferro,13265,0.0,0.0,0.0,0.0,1608.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Tattnall,13267,2.0,0.0,0.0004,0.0,25391.0,8.0,0.0,0.0,8e-05,2020-04-02 11:28:33
Taylor,13269,2.0,0.0,0.0004,0.0,8039.0,25.0,0.0,0.0,0.00025,2020-04-02 11:28:33
Telfair,13271,0.0,0.0,0.0,0.0,15876.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Terrell,13273,46.0,2.0,0.0086,0.0435,8611.0,534.0,23.0,4.0,0.00534,2020-04-02 11:28:33
Thomas,13275,15.0,0.0,0.0028,0.0,44448.0,34.0,0.0,0.0,0.00034,2020-04-02 11:28:33
Tift,13277,28.0,0.0,0.0052,0.0,40571.0,69.0,0.0,0.0,0.00069,2020-04-02 11:28:33
Toombs,13279,4.0,0.0,0.0007,0.0,26887.0,15.0,0.0,0.0,0.00015,2020-04-02 11:28:33
Towns,13281,0.0,0.0,0.0,0.0,11852.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Treutlen,13283,0.0,0.0,0.0,0.0,6809.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Troup,13285,20.0,1.0,0.0037,0.05,70034.0,29.0,1.0,5.0,0.00029,2020-04-02 11:28:33
Turner,13287,5.0,0.0,0.0009,0.0,7912.0,63.0,0.0,0.0,0.00063,2020-04-02 11:28:33
Twiggs,13289,2.0,0.0,0.0004,0.0,8188.0,24.0,0.0,0.0,0.00024,2020-04-02 11:28:33
Union,13291,1.0,0.0,0.0002,0.0,24001.0,4.0,0.0,0.0,4e-05,2020-04-02 11:28:33
Unknown,0,778.0,1.0,0.1455,0.0013,0.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Upson,13293,6.0,0.0,0.0011,0.0,26215.0,23.0,0.0,0.0,0.00023,2020-04-02 11:28:33
Walker,13295,2.0,0.0,0.0004,0.0,69410.0,3.0,0.0,0.0,3e-05,2020-04-02 11:28:33
Walton,13297,14.0,0.0,0.0026,0.0,93503.0,15.0,0.0,0.0,0.00015,2020-04-02 11:28:33
Ware,13299,14.0,2.0,0.0026,0.1429,35680.0,39.0,6.0,14.0,0.00039,2020-04-02 11:28:33
Warren,13301,4.0,0.0,0.0007,0.0,5251.0,76.0,0.0,0.0,0.00076,2020-04-02 11:28:33
Washington,13303,4.0,0.0,0.0007,0.0,20386.0,20.0,0.0,0.0,0.0002,2020-04-02 11:28:33
Wayne,13305,0.0,0.0,0.0,0.0,29808.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Webster,13307,1.0,0.0,0.0002,0.0,2611.0,38.0,0.0,0.0,0.00038,2020-04-02 11:28:33
Wheeler,13309,1.0,0.0,0.0002,0.0,7879.0,13.0,0.0,0.0,0.00013,2020-04-02 11:28:33
White,13311,3.0,0.0,0.0006,0.0,29970.0,10.0,0.0,0.0,0.0001,2020-04-02 11:28:33
Whitfield,13313,15.0,1.0,0.0028,0.0667,104062.0,14.0,1.0,7.0,0.00014,2020-04-02 11:28:33
Wilcox,13315,1.0,0.0,0.0002,0.0,8812.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Wilkes,13317,2.0,0.0,0.0004,0.0,9876.0,20.0,0.0,0.0,0.0002,2020-04-02 11:28:33
Wilkinson,13319,1.0,0.0,0.0002,0.0,9036.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
