Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,183.01,0.01,183.01,0.01,0.0,0.0,04/19/2020
18-59,11346.62,0.62,11237.62,0.64,109.0,0.16,04/19/2020
60+,6222.34,0.34,5646.34,0.32,576.0,0.84,04/19/2020
Unknown,549.03,0.03,547.03,0.03,2.0,0.0,04/19/2020
