Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,149.87,0.01,149.87,0.01,0.0,0.0,04/15/2020
18-59,9142.07,0.61,9053.07,0.63,89.0,0.16,04/15/2020
60+,5245.45,0.35,4783.45,0.33,462.0,0.84,04/15/2020
Unknown,449.61,0.03,448.61,0.03,1.0,0.0,04/15/2020
