Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,114.83,0.01,114.83,0.01,0.0,0.0,04/10/2020
18-59,7004.63,0.61,6937.63,0.63,67.0,0.16,04/10/2020
60+,4019.05,0.35,3670.05,0.33,349.0,0.84,04/10/2020
Unknown,344.49,0.03,344.49,0.03,0.0,0.0,04/10/2020
