County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1364.0,48.0,04/10/2020
Dougherty,13095,1062.0,67.0,04/10/2020
Dekalb,13089,795.0,13.0,04/10/2020
Cobb,13067,662.0,33.0,04/10/2020
Gwinnett,13135,646.0,17.0,04/10/2020
Clayton,13063,310.0,11.0,04/10/2020
Hall,13139,250.0,0.0,04/10/2020
Henry,13151,242.0,3.0,04/10/2020
Lee,13177,222.0,15.0,04/10/2020
Sumter,13261,211.0,9.0,04/10/2020
Bartow,13015,207.0,15.0,04/10/2020
Carroll,13045,197.0,5.0,04/10/2020
Cherokee,13057,170.0,7.0,04/10/2020
Douglas,13097,142.0,5.0,04/10/2020
Chatham,13051,136.0,5.0,04/10/2020
Mitchell,13205,131.0,13.0,04/10/2020
Muscogee,13215,127.0,3.0,04/10/2020
Forsyth,13117,113.0,2.0,04/10/2020
Houston,13153,111.0,7.0,04/10/2020
Early,13099,105.0,5.0,04/10/2020
Terrell,13273,100.0,10.0,04/10/2020
Floyd,13115,99.0,5.0,04/10/2020
Randolph,13243,98.0,5.0,04/10/2020
Richmond,13245,95.0,4.0,04/10/2020
Fayette,13113,92.0,4.0,04/10/2020
Coweta,13077,90.0,2.0,04/10/2020
Rockdale,13247,85.0,2.0,04/10/2020
Clarke,13059,81.0,10.0,04/10/2020
Colquitt,13071,80.0,5.0,04/10/2020
Worth,13321,75.0,4.0,04/10/2020
Newton,13217,73.0,3.0,04/10/2020
Thomas,13275,73.0,3.0,04/10/2020
Paulding,13223,69.0,2.0,04/10/2020
Crisp,13081,61.0,0.0,04/10/2020
Spalding,13255,60.0,4.0,04/10/2020
Columbia,13073,59.0,0.0,04/10/2020
Bibb,13021,56.0,1.0,04/10/2020
Lowndes,13185,56.0,1.0,04/10/2020
Tift,13277,56.0,1.0,04/10/2020
Troup,13285,56.0,3.0,04/10/2020
Coffee,13069,53.0,2.0,04/10/2020
Barrow,13013,48.0,3.0,04/10/2020
Ware,13299,48.0,4.0,04/10/2020
Upson,13293,47.0,0.0,04/10/2020
Pierce,13229,41.0,2.0,04/10/2020
Calhoun,13037,37.0,2.0,04/10/2020
Walton,13297,36.0,2.0,04/10/2020
Dooly,13093,35.0,1.0,04/10/2020
Oconee,13219,35.0,1.0,04/10/2020
Baldwin,13009,32.0,1.0,04/10/2020
Glynn,13127,32.0,0.0,04/10/2020
Bryan,13029,29.0,2.0,04/10/2020
Gordon,13129,28.0,3.0,04/10/2020
Laurens,13175,28.0,1.0,04/10/2020
Turner,13287,28.0,0.0,04/10/2020
Butts,13035,27.0,0.0,04/10/2020
Decatur,13087,26.0,0.0,04/10/2020
Jackson,13157,26.0,1.0,04/10/2020
Greene,13133,25.0,1.0,04/10/2020
Dawson,13085,24.0,1.0,04/10/2020
Whitfield,13313,24.0,3.0,04/10/2020
Burke,13033,21.0,0.0,04/10/2020
Polk,13233,21.0,0.0,04/10/2020
Washington,13303,21.0,0.0,04/10/2020
Peach,13225,20.0,2.0,04/10/2020
Camden,13039,19.0,0.0,04/10/2020
Effingham,13103,19.0,1.0,04/10/2020
Mcduffie,13189,19.0,2.0,04/10/2020
Macon,13193,18.0,0.0,04/10/2020
Meriwether,13199,18.0,0.0,04/10/2020
Brooks,13027,17.0,1.0,04/10/2020
Harris,13145,17.0,1.0,04/10/2020
Bulloch,13031,16.0,0.0,04/10/2020
Clay,13061,15.0,1.0,04/10/2020
Grady,13131,15.0,0.0,04/10/2020
Haralson,13143,15.0,0.0,04/10/2020
Lamar,13171,15.0,0.0,04/10/2020
Pike,13231,15.0,0.0,04/10/2020
Stephens,13257,15.0,0.0,04/10/2020
Bacon,13005,14.0,0.0,04/10/2020
Johnson,13167,14.0,1.0,04/10/2020
Liberty,13179,14.0,0.0,04/10/2020
Morgan,13211,14.0,0.0,04/10/2020
Habersham,13137,13.0,0.0,04/10/2020
Monroe,13207,12.0,1.0,04/10/2020
Murray,13213,12.0,0.0,04/10/2020
Schley,13249,12.0,1.0,04/10/2020
Seminole,13253,12.0,0.0,04/10/2020
Baker,13007,11.0,2.0,04/10/2020
Catoosa,13047,11.0,0.0,04/10/2020
Irwin,13155,11.0,0.0,04/10/2020
Oglethorpe,13221,11.0,1.0,04/10/2020
Pickens,13227,11.0,2.0,04/10/2020
Toombs,13279,11.0,1.0,04/10/2020
White,13311,11.0,0.0,04/10/2020
Miller,13201,10.0,0.0,04/10/2020
Dodge,13091,9.0,0.0,04/10/2020
Fannin,13111,9.0,0.0,04/10/2020
Jones,13169,9.0,0.0,04/10/2020
Lumpkin,13187,9.0,0.0,04/10/2020
Madison,13195,9.0,1.0,04/10/2020
Marion,13197,9.0,0.0,04/10/2020
Pulaski,13235,9.0,0.0,04/10/2020
Talbot,13263,9.0,1.0,04/10/2020
Telfair,13271,9.0,0.0,04/10/2020
Ben Hill,13017,8.0,0.0,04/10/2020
Jenkins,13165,8.0,1.0,04/10/2020
Wilkinson,13319,8.0,1.0,04/10/2020
Appling,13001,7.0,0.0,04/10/2020
Banks,13011,7.0,0.0,04/10/2020
Emanuel,13107,7.0,0.0,04/10/2020
Berrien,13019,6.0,0.0,04/10/2020
Brantley,13025,6.0,1.0,04/10/2020
Cook,13075,6.0,0.0,04/10/2020
Jasper,13159,6.0,0.0,04/10/2020
Lincoln,13181,6.0,0.0,04/10/2020
Rabun,13241,6.0,0.0,04/10/2020
Stewart,13259,6.0,0.0,04/10/2020
Taylor,13269,6.0,2.0,04/10/2020
Union,13291,6.0,1.0,04/10/2020
Walker,13295,6.0,0.0,04/10/2020
Warren,13301,6.0,0.0,04/10/2020
Wilkes,13317,6.0,0.0,04/10/2020
Lanier,13173,5.0,0.0,04/10/2020
Putnam,13237,5.0,0.0,04/10/2020
Screven,13251,5.0,0.0,04/10/2020
Wilcox,13315,5.0,0.0,04/10/2020
Candler,13043,4.0,0.0,04/10/2020
Chattooga,13055,4.0,1.0,04/10/2020
Gilmer,13123,4.0,0.0,04/10/2020
Jefferson,13163,4.0,1.0,04/10/2020
Quitman,13239,4.0,0.0,04/10/2020
Chattahoochee,13053,3.0,0.0,04/10/2020
Clinch,13065,3.0,0.0,04/10/2020
Crawford,13079,3.0,0.0,04/10/2020
Elbert,13105,3.0,0.0,04/10/2020
Franklin,13119,3.0,0.0,04/10/2020
Hart,13147,3.0,0.0,04/10/2020
Heard,13149,3.0,1.0,04/10/2020
Mcintosh,13191,3.0,0.0,04/10/2020
Tattnall,13267,3.0,0.0,04/10/2020
Towns,13281,3.0,0.0,04/10/2020
Wayne,13305,3.0,0.0,04/10/2020
Webster,13307,3.0,0.0,04/10/2020
Atkinson,13003,2.0,0.0,04/10/2020
Charlton,13049,2.0,0.0,04/10/2020
Dade,13083,2.0,1.0,04/10/2020
Echols,13101,2.0,0.0,04/10/2020
Twiggs,13289,2.0,0.0,04/10/2020
Wheeler,13309,2.0,0.0,04/10/2020
Bleckley,13023,1.0,0.0,04/10/2020
Hancock,13141,1.0,0.0,04/10/2020
Jeff Davis,13161,1.0,0.0,04/10/2020
Long,13183,1.0,0.0,04/10/2020
Treutlen,13283,1.0,0.0,04/10/2020
Unknown,0,1246.0,5.0,04/10/2020
Evans,13109,,,04/10/2020
Glascock,13125,,,04/10/2020
Montgomery,13209,,,04/10/2020
Taliaferro,13265,,,04/10/2020
