County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1774.0,57.0,04/14/2020
Dougherty,13095,1286.0,78.0,04/14/2020
Dekalb,13089,1067.0,15.0,04/14/2020
Cobb,13067,874.0,39.0,04/14/2020
Gwinnett,13135,794.0,26.0,04/14/2020
Clayton,13063,427.0,12.0,04/14/2020
Hall,13139,339.0,0.0,04/14/2020
Henry,13151,302.0,4.0,04/14/2020
Sumter,13261,265.0,11.0,04/14/2020
Lee,13177,257.0,15.0,04/14/2020
Carroll,13045,230.0,6.0,04/14/2020
Bartow,13015,224.0,17.0,04/14/2020
Cherokee,13057,211.0,7.0,04/14/2020
Douglas,13097,184.0,5.0,04/14/2020
Muscogee,13215,172.0,4.0,04/14/2020
Chatham,13051,156.0,5.0,04/14/2020
Richmond,13245,156.0,7.0,04/14/2020
Mitchell,13205,151.0,15.0,04/14/2020
Forsyth,13117,148.0,5.0,04/14/2020
Houston,13153,136.0,9.0,04/14/2020
Early,13099,132.0,6.0,04/14/2020
Terrell,13273,129.0,11.0,04/14/2020
Coweta,13077,126.0,2.0,04/14/2020
Randolph,13243,126.0,6.0,04/14/2020
Upson,13293,124.0,3.0,04/14/2020
Floyd,13115,119.0,6.0,04/14/2020
Fayette,13113,112.0,5.0,04/14/2020
Paulding,13223,108.0,4.0,04/14/2020
Rockdale,13247,104.0,4.0,04/14/2020
Worth,13321,98.0,4.0,04/14/2020
Clarke,13059,95.0,12.0,04/14/2020
Newton,13217,95.0,3.0,04/14/2020
Colquitt,13071,88.0,5.0,04/14/2020
Spalding,13255,82.0,4.0,04/14/2020
Bibb,13021,81.0,1.0,04/14/2020
Crisp,13081,80.0,1.0,04/14/2020
Thomas,13275,79.0,4.0,04/14/2020
Columbia,13073,74.0,0.0,04/14/2020
Lowndes,13185,67.0,3.0,04/14/2020
Tift,13277,67.0,1.0,04/14/2020
Troup,13285,65.0,3.0,04/14/2020
Coffee,13069,64.0,3.0,04/14/2020
Ware,13299,61.0,4.0,04/14/2020
Baldwin,13009,60.0,2.0,04/14/2020
Barrow,13013,58.0,3.0,04/14/2020
Calhoun,13037,53.0,2.0,04/14/2020
Dooly,13093,51.0,2.0,04/14/2020
Walton,13297,48.0,2.0,04/14/2020
Macon,13193,45.0,0.0,04/14/2020
Pierce,13229,45.0,2.0,04/14/2020
Gordon,13129,44.0,3.0,04/14/2020
Decatur,13087,42.0,0.0,04/14/2020
Oconee,13219,41.0,0.0,04/14/2020
Turner,13287,41.0,1.0,04/14/2020
Glynn,13127,38.0,0.0,04/14/2020
Laurens,13175,35.0,1.0,04/14/2020
Butts,13035,34.0,0.0,04/14/2020
Dawson,13085,32.0,2.0,04/14/2020
Jackson,13157,32.0,1.0,04/14/2020
Bryan,13029,30.0,2.0,04/14/2020
Greene,13133,30.0,1.0,04/14/2020
Whitfield,13313,29.0,3.0,04/14/2020
Burke,13033,28.0,2.0,04/14/2020
Mcduffie,13189,28.0,2.0,04/14/2020
Wilcox,13315,28.0,0.0,04/14/2020
Polk,13233,25.0,0.0,04/14/2020
Effingham,13103,24.0,1.0,04/14/2020
Meriwether,13199,24.0,0.0,04/14/2020
Peach,13225,24.0,2.0,04/14/2020
Harris,13145,23.0,1.0,04/14/2020
Camden,13039,22.0,0.0,04/14/2020
Washington,13303,22.0,0.0,04/14/2020
Habersham,13137,21.0,1.0,04/14/2020
Johnson,13167,20.0,1.0,04/14/2020
Lamar,13171,20.0,0.0,04/14/2020
Liberty,13179,20.0,0.0,04/14/2020
Pike,13231,20.0,0.0,04/14/2020
Stephens,13257,20.0,0.0,04/14/2020
Brooks,13027,19.0,1.0,04/14/2020
Bulloch,13031,19.0,1.0,04/14/2020
Haralson,13143,19.0,1.0,04/14/2020
Grady,13131,18.0,0.0,04/14/2020
Oglethorpe,13221,18.0,1.0,04/14/2020
Baker,13007,16.0,2.0,04/14/2020
Clay,13061,16.0,1.0,04/14/2020
Marion,13197,16.0,0.0,04/14/2020
Seminole,13253,16.0,1.0,04/14/2020
Dodge,13091,15.0,0.0,04/14/2020
Miller,13201,15.0,0.0,04/14/2020
Morgan,13211,15.0,0.0,04/14/2020
Murray,13213,15.0,0.0,04/14/2020
Bacon,13005,14.0,0.0,04/14/2020
Catoosa,13047,14.0,0.0,04/14/2020
Jones,13169,14.0,0.0,04/14/2020
Appling,13001,13.0,0.0,04/14/2020
Fannin,13111,13.0,0.0,04/14/2020
Monroe,13207,13.0,1.0,04/14/2020
Pickens,13227,13.0,2.0,04/14/2020
Toombs,13279,13.0,1.0,04/14/2020
White,13311,13.0,0.0,04/14/2020
Irwin,13155,12.0,0.0,04/14/2020
Madison,13195,12.0,1.0,04/14/2020
