Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,154.54,0.01,154.54,0.01,0.0,0.0,04/16/2020
18-59,9272.4,0.6,9178.4,0.62,94.0,0.16,04/16/2020
60+,5408.9,0.35,4919.9,0.33,489.0,0.84,04/16/2020
Unknown,618.16,0.04,617.16,0.04,1.0,0.0,04/16/2020
