County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2308.0,86.0,04/23/2020
Dekalb,13089,1639.0,33.0,04/23/2020
Dougherty,13095,1479.0,110.0,04/23/2020
Gwinnett,13135,1304.0,46.0,04/23/2020
Cobb,13067,1284.0,65.0,04/23/2020
Hall,13139,932.0,9.0,04/23/2020
Clayton,13063,600.0,21.0,04/23/2020
Henry,13151,402.0,10.0,04/23/2020
Cherokee,13057,348.0,10.0,04/23/2020
Sumter,13261,344.0,21.0,04/23/2020
Richmond,13245,331.0,14.0,04/23/2020
Carroll,13045,305.0,11.0,04/23/2020
Lee,13177,295.0,18.0,04/23/2020
Mitchell,13205,284.0,23.0,04/23/2020
Douglas,13097,262.0,8.0,04/23/2020
Bartow,13015,259.0,27.0,04/23/2020
Muscogee,13215,252.0,4.0,04/23/2020
Forsyth,13117,231.0,8.0,04/23/2020
Bibb,13021,227.0,5.0,04/23/2020
Chatham,13051,199.0,6.0,04/23/2020
Houston,13153,191.0,13.0,04/23/2020
Upson,13293,188.0,14.0,04/23/2020
Early,13099,186.0,15.0,04/23/2020
Coweta,13077,173.0,4.0,04/23/2020
Colquitt,13071,164.0,6.0,04/23/2020
Terrell,13273,160.0,18.0,04/23/2020
Baldwin,13009,158.0,4.0,04/23/2020
Thomas,13275,158.0,16.0,04/23/2020
Fayette,13113,152.0,8.0,04/23/2020
Newton,13217,149.0,5.0,04/23/2020
Randolph,13243,149.0,18.0,04/23/2020
Rockdale,13247,148.0,6.0,04/23/2020
Paulding,13223,147.0,7.0,04/23/2020
Worth,13321,142.0,9.0,04/23/2020
Spalding,13255,137.0,8.0,04/23/2020
Crisp,13081,133.0,2.0,04/23/2020
Habersham,13137,130.0,3.0,04/23/2020
Floyd,13115,128.0,8.0,04/23/2020
Columbia,13073,127.0,2.0,04/23/2020
Butts,13035,126.0,1.0,04/23/2020
Lowndes,13185,123.0,4.0,04/23/2020
Clarke,13059,119.0,13.0,04/23/2020
Troup,13285,115.0,4.0,04/23/2020
Barrow,13013,104.0,3.0,04/23/2020
Tift,13277,97.0,3.0,04/23/2020
Ware,13299,97.0,7.0,04/23/2020
Coffee,13069,86.0,4.0,04/23/2020
Calhoun,13037,82.0,3.0,04/23/2020
Walton,13297,78.0,3.0,04/23/2020
Dooly,13093,75.0,6.0,04/23/2020
Gordon,13129,70.0,9.0,04/23/2020
Jackson,13157,66.0,1.0,04/23/2020
Macon,13193,66.0,2.0,04/23/2020
Wilcox,13315,64.0,7.0,04/23/2020
Decatur,13087,61.0,1.0,04/23/2020
Turner,13287,59.0,5.0,04/23/2020
Walker,13295,59.0,0.0,04/23/2020
Whitfield,13313,59.0,4.0,04/23/2020
Burke,13033,56.0,3.0,04/23/2020
Harris,13145,53.0,2.0,04/23/2020
Oconee,13219,53.0,0.0,04/23/2020
Glynn,13127,51.0,1.0,04/23/2020
Pierce,13229,51.0,2.0,04/23/2020
Dawson,13085,49.0,1.0,04/23/2020
Greene,13133,48.0,1.0,04/23/2020
Meriwether,13199,48.0,0.0,04/23/2020
Appling,13001,47.0,2.0,04/23/2020
Catoosa,13047,45.0,0.0,04/23/2020
Grady,13131,44.0,3.0,04/23/2020
Laurens,13175,44.0,1.0,04/23/2020
Stephens,13257,44.0,1.0,04/23/2020
Johnson,13167,38.0,1.0,04/23/2020
Mcduffie,13189,38.0,4.0,04/23/2020
Bryan,13029,37.0,2.0,04/23/2020
Pike,13231,37.0,2.0,04/23/2020
Brooks,13027,36.0,6.0,04/23/2020
Oglethorpe,13221,36.0,3.0,04/23/2020
Polk,13233,36.0,0.0,04/23/2020
Liberty,13179,35.0,0.0,04/23/2020
Peach,13225,35.0,2.0,04/23/2020
Marion,13197,34.0,1.0,04/23/2020
Bulloch,13031,33.0,2.0,04/23/2020
White,13311,33.0,0.0,04/23/2020
Effingham,13103,31.0,1.0,04/23/2020
Lamar,13171,29.0,0.0,04/23/2020
Putnam,13237,29.0,2.0,04/23/2020
Camden,13039,28.0,1.0,04/23/2020
Washington,13303,28.0,1.0,04/23/2020
Lumpkin,13187,27.0,0.0,04/23/2020
Seminole,13253,27.0,2.0,04/23/2020
Miller,13201,26.0,0.0,04/23/2020
Gilmer,13123,25.0,0.0,04/23/2020
Haralson,13143,25.0,1.0,04/23/2020
Morgan,13211,25.0,0.0,04/23/2020
Wilkinson,13319,25.0,2.0,04/23/2020
Toombs,13279,23.0,3.0,04/23/2020
Dodge,13091,22.0,0.0,04/23/2020
Jones,13169,22.0,0.0,04/23/2020
Wilkes,13317,22.0,0.0,04/23/2020
Ben Hill,13017,21.0,0.0,04/23/2020
Talbot,13263,21.0,1.0,04/23/2020
Bacon,13005,20.0,1.0,04/23/2020
Brantley,13025,20.0,2.0,04/23/2020
Fannin,13111,20.0,0.0,04/23/2020
Pulaski,13235,20.0,1.0,04/23/2020
Baker,13007,19.0,2.0,04/23/2020
Clay,13061,19.0,2.0,04/23/2020
Jasper,13159,19.0,0.0,04/23/2020
Madison,13195,19.0,1.0,04/23/2020
Murray,13213,19.0,0.0,04/23/2020
Pickens,13227,19.0,2.0,04/23/2020
Towns,13281,19.0,0.0,04/23/2020
Union,13291,18.0,1.0,04/23/2020
Emanuel,13107,17.0,0.0,04/23/2020
Stewart,13259,17.0,0.0,04/23/2020
Banks,13011,16.0,0.0,04/23/2020
Monroe,13207,16.0,1.0,04/23/2020
Schley,13249,16.0,1.0,04/23/2020
Telfair,13271,16.0,0.0,04/23/2020
Cook,13075,15.0,1.0,04/23/2020
Dade,13083,15.0,1.0,04/23/2020
Irwin,13155,15.0,1.0,04/23/2020
