Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,430.24,0.02,430.24,0.02,0.0,0.0,04/23/2020
18-59,13337.44,0.62,13198.44,0.64,139.0,0.16,04/23/2020
60+,7314.08,0.34,6582.08,0.32,732.0,0.84,04/23/2020
Unknown,430.24,0.02,429.24,0.02,1.0,0.0,04/23/2020
