Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,453.9,0.02,453.9,0.02,0.0,0.0,04/25/2020
18-59,14070.9,0.62,13932.9,0.64,138.0,0.15,04/25/2020
60+,7716.3,0.34,6954.3,0.32,762.0,0.84,04/25/2020
Unknown,453.9,0.02,449.9,0.02,4.0,0.0,04/25/2020
