County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,6.0,0.0,0.0007,0.0,18507.0,0.00032,32.0,0.0,0.0,2020-04-07 18:28:13
Atkinson,13003,4.0,0.0,0.0004,0.0,8297.0,0.00048,48.0,0.0,0.0,2020-04-07 18:28:13
Bacon,13005,11.0,0.0,0.0012,0.0,11185.0,0.00098,98.0,0.0,0.0,2020-04-07 18:28:13
Baker,13007,10.0,2.0,0.0011,0.2,3092.0,0.00323,323.0,65.0,20.0,2020-04-07 18:28:13
Baldwin,13009,27.0,1.0,0.0029,0.037,44823.0,0.0006,60.0,2.0,4.0,2020-04-07 18:28:13
Banks,13011,4.0,0.0,0.0004,0.0,18988.0,0.00021,21.0,0.0,0.0,2020-04-07 18:28:13
Barrow,13013,42.0,3.0,0.0046,0.0714,80809.0,0.00052,52.0,4.0,7.0,2020-04-07 18:28:13
Bartow,13015,191.0,12.0,0.0209,0.0628,106408.0,0.00179,179.0,11.0,6.0,2020-04-07 18:28:13
Ben Hill,13017,6.0,0.0,0.0007,0.0,16787.0,0.00036,36.0,0.0,0.0,2020-04-07 18:28:13
Berrien,13019,4.0,0.0,0.0004,0.0,19252.0,0.00021,21.0,0.0,0.0,2020-04-07 18:28:13
Bibb,13021,46.0,1.0,0.005,0.0217,153095.0,0.0003,30.0,1.0,2.0,2020-04-07 18:28:13
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-07 18:28:13
Brantley,13025,5.0,1.0,0.0005,0.2,18897.0,0.00026,26.0,5.0,20.0,2020-04-07 18:28:13
Brooks,13027,6.0,0.0,0.0007,0.0,15513.0,0.00039,39.0,0.0,0.0,2020-04-07 18:28:13
Bryan,13029,26.0,2.0,0.0028,0.0769,38109.0,0.00068,68.0,5.0,8.0,2020-04-07 18:28:13
Bulloch,13031,10.0,0.0,0.0011,0.0,77296.0,0.00013,13.0,0.0,0.0,2020-04-07 18:28:13
Burke,13033,15.0,0.0,0.0016,0.0,22423.0,0.00067,67.0,0.0,0.0,2020-04-07 18:28:13
Butts,13035,18.0,0.0,0.002,0.0,24193.0,0.00074,74.0,0.0,0.0,2020-04-07 18:28:13
Calhoun,13037,31.0,1.0,0.0034,0.0323,6352.0,0.00488,488.0,16.0,3.0,2020-04-07 18:28:13
Camden,13039,17.0,0.0,0.0019,0.0,53677.0,0.00032,32.0,0.0,0.0,2020-04-07 18:28:13
Candler,13043,4.0,0.0,0.0004,0.0,10836.0,0.00037,37.0,0.0,0.0,2020-04-07 18:28:13
Carroll,13045,183.0,4.0,0.02,0.0219,118121.0,0.00155,155.0,3.0,2.0,2020-04-07 18:28:13
Catoosa,13047,7.0,0.0,0.0008,0.0,67420.0,0.0001,10.0,0.0,0.0,2020-04-07 18:28:13
Charlton,13049,3.0,0.0,0.0003,0.0,12968.0,0.00023,23.0,0.0,0.0,2020-04-07 18:28:13
Chatham,13051,120.0,4.0,0.0131,0.0333,289195.0,0.00041,41.0,1.0,3.0,2020-04-07 18:28:13
Chattahoochee,13053,2.0,0.0,0.0002,0.0,10684.0,0.00019,19.0,0.0,0.0,2020-04-07 18:28:13
Chattooga,13055,4.0,1.0,0.0004,0.25,24790.0,0.00016,16.0,4.0,25.0,2020-04-07 18:28:13
Cherokee,13057,147.0,6.0,0.0161,0.0408,254149.0,0.00058,58.0,2.0,4.0,2020-04-07 18:28:13
Clarke,13059,78.0,9.0,0.0085,0.1154,127330.0,0.00061,61.0,7.0,12.0,2020-04-07 18:28:13
Clay,13061,12.0,1.0,0.0013,0.0833,2887.0,0.00416,416.0,35.0,8.0,2020-04-07 18:28:13
Clayton,13063,278.0,10.0,0.0304,0.036,289615.0,0.00096,96.0,3.0,4.0,2020-04-07 18:28:13
Clinch,13065,3.0,0.0,0.0003,0.0,6648.0,0.00045,45.0,0.0,0.0,2020-04-07 18:28:13
