Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,91.56,0.01,91.56,0.01,0,0,07/04/2020 18:28
18-59,5402.04,0.59,5339.04,0.61,63,0.18,07/04/2020 18:28
60+,3296.16,0.36,3013.16,0.34,283,0.81,07/04/2020 18:28
Unknown,366.24,0.04,364.24,0.04,2,0.01,07/04/2020 18:28
