Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,464.32,0.02,464.32,0.02,0.0,0.0,04/25/2020
18-59,14393.92,0.62,14253.92,0.64,140.0,0.15,04/25/2020
60+,7661.28,0.33,6898.28,0.31,763.0,0.84,04/25/2020
Unknown,696.48,0.03,692.48,0.03,4.0,0.0,04/25/2020
