Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,512.88,0.02,512.88,0.02,0.0,0.0,04/29/2020
18-59,15899.28,0.62,15735.28,0.64,164.0,0.15,04/29/2020
60+,8718.96,0.34,7790.96,0.32,928.0,0.85,04/29/2020
Unknown,512.88,0.02,509.88,0.02,3.0,0.0,04/29/2020
