County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,7.0,0.0,0.0007,0.0,18507.0,0.00038,38.0,0.0,0.0,2020-04-08 20:33:56
Atkinson,13003,4.0,0.0,0.0004,0.0,8297.0,0.00048,48.0,0.0,0.0,2020-04-08 20:33:56
Bacon,13005,13.0,0.0,0.0013,0.0,11185.0,0.00116,116.0,0.0,0.0,2020-04-08 20:33:56
Baker,13007,9.0,2.0,0.0009,0.2222,3092.0,0.00291,291.0,65.0,22.0,2020-04-08 20:33:56
Baldwin,13009,30.0,1.0,0.0029,0.0333,44823.0,0.00067,67.0,2.0,3.0,2020-04-08 20:33:56
Banks,13011,4.0,0.0,0.0004,0.0,18988.0,0.00021,21.0,0.0,0.0,2020-04-08 20:33:56
Barrow,13013,46.0,3.0,0.0045,0.0652,80809.0,0.00057,57.0,4.0,7.0,2020-04-08 20:33:56
Bartow,13015,195.0,12.0,0.0191,0.0615,106408.0,0.00183,183.0,11.0,6.0,2020-04-08 20:33:56
Ben Hill,13017,6.0,0.0,0.0006,0.0,16787.0,0.00036,36.0,0.0,0.0,2020-04-08 20:33:56
Berrien,13019,4.0,0.0,0.0004,0.0,19252.0,0.00021,21.0,0.0,0.0,2020-04-08 20:33:56
Bibb,13021,51.0,1.0,0.005,0.0196,153095.0,0.00033,33.0,1.0,2.0,2020-04-08 20:33:56
Bleckley,13023,1.0,0.0,0.0001,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-08 20:33:56
Brantley,13025,5.0,1.0,0.0005,0.2,18897.0,0.00026,26.0,5.0,20.0,2020-04-08 20:33:56
Brooks,13027,16.0,1.0,0.0016,0.0625,15513.0,0.00103,103.0,6.0,6.0,2020-04-08 20:33:56
Bryan,13029,25.0,2.0,0.0025,0.08,38109.0,0.00066,66.0,5.0,8.0,2020-04-08 20:33:56
Bulloch,13031,12.0,0.0,0.0012,0.0,77296.0,0.00016,16.0,0.0,0.0,2020-04-08 20:33:56
Burke,13033,19.0,0.0,0.0019,0.0,22423.0,0.00085,85.0,0.0,0.0,2020-04-08 20:33:56
Butts,13035,23.0,0.0,0.0023,0.0,24193.0,0.00095,95.0,0.0,0.0,2020-04-08 20:33:56
Calhoun,13037,35.0,2.0,0.0034,0.0571,6352.0,0.00551,551.0,31.0,6.0,2020-04-08 20:33:56
Camden,13039,19.0,0.0,0.0019,0.0,53677.0,0.00035,35.0,0.0,0.0,2020-04-08 20:33:56
Candler,13043,4.0,0.0,0.0004,0.0,10836.0,0.00037,37.0,0.0,0.0,2020-04-08 20:33:56
Carroll,13045,184.0,4.0,0.018,0.0217,118121.0,0.00156,156.0,3.0,2.0,2020-04-08 20:33:56
Catoosa,13047,8.0,0.0,0.0008,0.0,67420.0,0.00012,12.0,0.0,0.0,2020-04-08 20:33:56
Charlton,13049,3.0,0.0,0.0003,0.0,12968.0,0.00023,23.0,0.0,0.0,2020-04-08 20:33:56
Chatham,13051,124.0,4.0,0.0122,0.0323,289195.0,0.00043,43.0,1.0,3.0,2020-04-08 20:33:56
Chattahoochee,13053,2.0,0.0,0.0002,0.0,10684.0,0.00019,19.0,0.0,0.0,2020-04-08 20:33:56
Chattooga,13055,4.0,1.0,0.0004,0.25,24790.0,0.00016,16.0,4.0,25.0,2020-04-08 20:33:56
Cherokee,13057,155.0,6.0,0.0152,0.0387,254149.0,0.00061,61.0,2.0,4.0,2020-04-08 20:33:56
Clarke,13059,81.0,9.0,0.0079,0.1111,127330.0,0.00064,64.0,7.0,11.0,2020-04-08 20:33:56
Clay,13061,13.0,1.0,0.0013,0.0769,2887.0,0.0045,450.0,35.0,8.0,2020-04-08 20:33:56
Clayton,13063,289.0,10.0,0.0283,0.0346,289615.0,0.001,100.0,3.0,3.0,2020-04-08 20:33:56
Clinch,13065,3.0,0.0,0.0003,0.0,6648.0,0.00045,45.0,0.0,0.0,2020-04-08 20:33:56
Cobb,13067,608.0,29.0,0.0596,0.0477,756865.0,0.0008,80.0,4.0,5.0,2020-04-08 20:33:56
Coffee,13069,46.0,2.0,0.0045,0.0435,43093.0,0.00107,107.0,5.0,4.0,2020-04-08 20:33:56
Colquitt,13071,79.0,5.0,0.0077,0.0633,45592.0,0.00173,173.0,11.0,6.0,2020-04-08 20:33:56
Columbia,13073,50.0,0.0,0.0049,0.0,154291.0,0.00032,32.0,0.0,0.0,2020-04-08 20:33:56
Cook,13075,4.0,0.0,0.0004,0.0,17162.0,0.00023,23.0,0.0,0.0,2020-04-08 20:33:56
Coweta,13077,82.0,2.0,0.008,0.0244,145864.0,0.00056,56.0,1.0,2.0,2020-04-08 20:33:56
Crawford,13079,3.0,0.0,0.0003,0.0,12318.0,0.00024,24.0,0.0,0.0,2020-04-08 20:33:56
Crisp,13081,52.0,0.0,0.0051,0.0,22601.0,0.0023,230.0,0.0,0.0,2020-04-08 20:33:56
Dade,13083,2.0,1.0,0.0002,0.5,16226.0,0.00012,12.0,6.0,50.0,2020-04-08 20:33:56
Dawson,13085,23.0,1.0,0.0023,0.0435,25083.0,0.00092,92.0,4.0,4.0,2020-04-08 20:33:56
Decatur,13087,22.0,0.0,0.0022,0.0,26575.0,0.00083,83.0,0.0,0.0,2020-04-08 20:33:56
Dekalb,13089,732.0,12.0,0.0717,0.0164,756558.0,0.00097,97.0,2.0,2.0,2020-04-08 20:33:56
Dodge,13091,9.0,0.0,0.0009,0.0,20705.0,0.00043,43.0,0.0,0.0,2020-04-08 20:33:56
Dooly,13093,28.0,1.0,0.0027,0.0357,13706.0,0.00204,204.0,7.0,4.0,2020-04-08 20:33:56
Dougherty,13095,1001.0,62.0,0.0981,0.0619,91243.0,0.01097,1097.0,68.0,6.0,2020-04-08 20:33:56
