Race,Race_Num,Race_Pct,Date
Black,2096,0.2054,08/04/2020 20:33
White,1565,0.1534,08/04/2020 20:33
Other,148,0.0145,08/04/2020 20:33
Unknown,6395,0.6267,08/04/2020 20:33
