County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1467.0,50.0,04/12/2020
Dougherty,13095,1154.0,72.0,04/12/2020
Dekalb,13089,869.0,14.0,04/12/2020
Cobb,13067,714.0,32.0,04/12/2020
Gwinnett,13135,690.0,19.0,04/12/2020
Clayton,13063,362.0,11.0,04/12/2020
Hall,13139,279.0,0.0,04/12/2020
Henry,13151,260.0,3.0,04/12/2020
Lee,13177,239.0,15.0,04/12/2020
Sumter,13261,227.0,9.0,04/12/2020
Bartow,13015,212.0,15.0,04/12/2020
Carroll,13045,204.0,5.0,04/12/2020
Cherokee,13057,186.0,7.0,04/12/2020
Douglas,13097,153.0,5.0,04/12/2020
Chatham,13051,147.0,5.0,04/12/2020
Muscogee,13215,146.0,4.0,04/12/2020
Richmond,13245,140.0,3.0,04/12/2020
Mitchell,13205,136.0,13.0,04/12/2020
Forsyth,13117,130.0,5.0,04/12/2020
Early,13099,121.0,6.0,04/12/2020
Houston,13153,115.0,7.0,04/12/2020
Floyd,13115,108.0,5.0,04/12/2020
Terrell,13273,107.0,10.0,04/12/2020
Randolph,13243,105.0,5.0,04/12/2020
Coweta,13077,103.0,2.0,04/12/2020
Fayette,13113,99.0,4.0,04/12/2020
Rockdale,13247,95.0,2.0,04/12/2020
Colquitt,13071,87.0,5.0,04/12/2020
Worth,13321,84.0,4.0,04/12/2020
Clarke,13059,83.0,11.0,04/12/2020
Paulding,13223,80.0,2.0,04/12/2020
Newton,13217,79.0,3.0,04/12/2020
Thomas,13275,77.0,3.0,04/12/2020
Spalding,13255,71.0,4.0,04/12/2020
Crisp,13081,70.0,0.0,04/12/2020
Columbia,13073,68.0,0.0,04/12/2020
Bibb,13021,67.0,1.0,04/12/2020
Lowndes,13185,59.0,2.0,04/12/2020
Tift,13277,59.0,1.0,04/12/2020
Troup,13285,57.0,3.0,04/12/2020
Coffee,13069,56.0,2.0,04/12/2020
Barrow,13013,55.0,3.0,04/12/2020
Upson,13293,55.0,1.0,04/12/2020
Ware,13299,53.0,4.0,04/12/2020
Baldwin,13009,52.0,1.0,04/12/2020
Pierce,13229,45.0,2.0,04/12/2020
Calhoun,13037,43.0,2.0,04/12/2020
Dooly,13093,40.0,1.0,04/12/2020
Walton,13297,39.0,2.0,04/12/2020
Oconee,13219,38.0,0.0,04/12/2020
Turner,13287,38.0,0.0,04/12/2020
Gordon,13129,35.0,3.0,04/12/2020
Glynn,13127,33.0,0.0,04/12/2020
Laurens,13175,32.0,1.0,04/12/2020
Bryan,13029,29.0,1.0,04/12/2020
Decatur,13087,29.0,0.0,04/12/2020
Burke,13033,28.0,1.0,04/12/2020
Butts,13035,28.0,0.0,04/12/2020
Jackson,13157,27.0,1.0,04/12/2020
Dawson,13085,26.0,2.0,04/12/2020
Greene,13133,25.0,1.0,04/12/2020
Whitfield,13313,24.0,3.0,04/12/2020
Meriwether,13199,23.0,0.0,04/12/2020
Effingham,13103,22.0,1.0,04/12/2020
Mcduffie,13189,22.0,2.0,04/12/2020
Peach,13225,22.0,2.0,04/12/2020
Polk,13233,22.0,0.0,04/12/2020
Washington,13303,22.0,0.0,04/12/2020
Wilcox,13315,22.0,0.0,04/12/2020
Macon,13193,21.0,0.0,04/12/2020
Camden,13039,20.0,0.0,04/12/2020
Harris,13145,19.0,1.0,04/12/2020
Johnson,13167,19.0,1.0,04/12/2020
Brooks,13027,18.0,1.0,04/12/2020
Liberty,13179,17.0,0.0,04/12/2020
Stephens,13257,17.0,0.0,04/12/2020
Bulloch,13031,16.0,1.0,04/12/2020
Haralson,13143,16.0,0.0,04/12/2020
Lamar,13171,16.0,0.0,04/12/2020
