Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,176.69,0.01,176.69,0.01,0.0,0.0,04/18/2020
18-59,10778.09,0.61,10673.09,0.63,105.0,0.16,04/18/2020
60+,6007.46,0.34,5443.46,0.32,564.0,0.84,04/18/2020
Unknown,706.76,0.04,702.76,0.04,4.0,0.01,04/18/2020
