County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2720.0,108.0,04/28/2020
Dekalb,13089,1885.0,43.0,04/28/2020
Gwinnett,13135,1603.0,54.0,04/28/2020
Cobb,13067,1514.0,81.0,04/28/2020
Dougherty,13095,1491.0,118.0,04/28/2020
Hall,13139,1177.0,16.0,04/28/2020
Clayton,13063,667.0,24.0,04/28/2020
Henry,13151,484.0,11.0,04/28/2020
Cherokee,13057,430.0,11.0,04/28/2020
Richmond,13245,382.0,14.0,04/28/2020
Sumter,13261,369.0,26.0,04/28/2020
Carroll,13045,333.0,13.0,04/28/2020
Lee,13177,312.0,19.0,04/28/2020
Bartow,13015,298.0,30.0,04/28/2020
Douglas,13097,298.0,11.0,04/28/2020
Mitchell,13205,293.0,29.0,04/28/2020
Muscogee,13215,290.0,6.0,04/28/2020
Forsyth,13117,283.0,9.0,04/28/2020
Bibb,13021,269.0,8.0,04/28/2020
Houston,13153,219.0,13.0,04/28/2020
Chatham,13051,218.0,7.0,04/28/2020
Habersham,13137,211.0,7.0,04/28/2020
Upson,13293,208.0,17.0,04/28/2020
Baldwin,13009,202.0,6.0,04/28/2020
Early,13099,202.0,15.0,04/28/2020
Spalding,13255,198.0,8.0,04/28/2020
Coweta,13077,191.0,4.0,04/28/2020
Newton,13217,181.0,7.0,04/28/2020
Colquitt,13071,179.0,6.0,04/28/2020
Thomas,13275,173.0,17.0,04/28/2020
Rockdale,13247,172.0,6.0,04/28/2020
Fayette,13113,171.0,9.0,04/28/2020
Paulding,13223,171.0,7.0,04/28/2020
Terrell,13273,170.0,18.0,04/28/2020
Crisp,13081,159.0,3.0,04/28/2020
Randolph,13243,156.0,19.0,04/28/2020
Columbia,13073,147.0,3.0,04/28/2020
Lowndes,13185,146.0,4.0,04/28/2020
Worth,13321,144.0,8.0,04/28/2020
Clarke,13059,142.0,13.0,04/28/2020
Troup,13285,141.0,4.0,04/28/2020
Floyd,13115,134.0,11.0,04/28/2020
Butts,13035,129.0,3.0,04/28/2020
Barrow,13013,123.0,4.0,04/28/2020
Coffee,13069,121.0,4.0,04/28/2020
Dooly,13093,119.0,8.0,04/28/2020
Ware,13299,112.0,9.0,04/28/2020
Walton,13297,110.0,3.0,04/28/2020
Tift,13277,97.0,5.0,04/28/2020
Wilcox,13315,89.0,8.0,04/28/2020
Calhoun,13037,87.0,4.0,04/28/2020
Gordon,13129,85.0,12.0,04/28/2020
Jackson,13157,78.0,1.0,04/28/2020
Macon,13193,75.0,3.0,04/28/2020
Whitfield,13313,75.0,4.0,04/28/2020
Burke,13033,74.0,3.0,04/28/2020
Stephens,13257,71.0,1.0,04/28/2020
Decatur,13087,66.0,1.0,04/28/2020
Turner,13287,66.0,8.0,04/28/2020
Appling,13001,65.0,5.0,04/28/2020
Dawson,13085,58.0,1.0,04/28/2020
Grady,13131,58.0,3.0,04/28/2020
Oconee,13219,58.0,0.0,04/28/2020
Walker,13295,58.0,0.0,04/28/2020
Harris,13145,57.0,2.0,04/28/2020
White,13311,56.0,0.0,04/28/2020
Glynn,13127,55.0,1.0,04/28/2020
Laurens,13175,54.0,1.0,04/28/2020
Pierce,13229,54.0,3.0,04/28/2020
Gilmer,13123,53.0,0.0,04/28/2020
Meriwether,13199,53.0,1.0,04/28/2020
Brooks,13027,52.0,6.0,04/28/2020
Greene,13133,52.0,2.0,04/28/2020
Bryan,13029,49.0,2.0,04/28/2020
Polk,13233,49.0,0.0,04/28/2020
Oglethorpe,13221,48.0,3.0,04/28/2020
Catoosa,13047,46.0,0.0,04/28/2020
Mcduffie,13189,44.0,4.0,04/28/2020
Peach,13225,44.0,2.0,04/28/2020
Marion,13197,40.0,1.0,04/28/2020
Johnson,13167,39.0,2.0,04/28/2020
Pike,13231,39.0,2.0,04/28/2020
Washington,13303,38.0,1.0,04/28/2020
Liberty,13179,37.0,0.0,04/28/2020
Lumpkin,13187,37.0,1.0,04/28/2020
Putnam,13237,37.0,5.0,04/28/2020
Hancock,13141,35.0,1.0,04/28/2020
Lamar,13171,35.0,2.0,04/28/2020
Bulloch,13031,34.0,2.0,04/28/2020
Effingham,13103,34.0,1.0,04/28/2020
Union,13291,34.0,1.0,04/28/2020
Wilkinson,13319,34.0,2.0,04/28/2020
Camden,13039,31.0,1.0,04/28/2020
Seminole,13253,30.0,2.0,04/28/2020
Miller,13201,29.0,0.0,04/28/2020
Jones,13169,28.0,0.0,04/28/2020
Toombs,13279,28.0,3.0,04/28/2020
Haralson,13143,27.0,1.0,04/28/2020
Fannin,13111,26.0,1.0,04/28/2020
Murray,13213,26.0,0.0,04/28/2020
Ben Hill,13017,25.0,0.0,04/28/2020
Pulaski,13235,25.0,1.0,04/28/2020
Telfair,13271,25.0,0.0,04/28/2020
Dodge,13091,24.0,1.0,04/28/2020
Morgan,13211,24.0,0.0,04/28/2020
Madison,13195,23.0,1.0,04/28/2020
Monroe,13207,23.0,1.0,04/28/2020
Pickens,13227,23.0,2.0,04/28/2020
Wilkes,13317,23.0,0.0,04/28/2020
Bacon,13005,22.0,1.0,04/28/2020
Brantley,13025,22.0,2.0,04/28/2020
Talbot,13263,22.0,1.0,04/28/2020
Baker,13007,21.0,2.0,04/28/2020
Jasper,13159,21.0,0.0,04/28/2020
Stewart,13259,21.0,0.0,04/28/2020
Towns,13281,21.0,1.0,04/28/2020
Clay,13061,20.0,2.0,04/28/2020
Cook,13075,20.0,1.0,04/28/2020
Emanuel,13107,20.0,0.0,04/28/2020
Elbert,13105,19.0,0.0,04/28/2020
Banks,13011,18.0,0.0,04/28/2020
