County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Date
Twiggs,13289,2.0,0.0,0.0005,0.0,8188.0,0.00024,2020-03-31 11:28:18
Union,13291,0.0,0.0,0.0,0.0,24001.0,0.0,2020-03-31 11:28:18
Unknown,0,159.0,1.0,0.0417,0.0063,0.0,0.0,2020-03-31 11:28:18
Upson,13293,5.0,0.0,0.0013,0.0,26215.0,0.00019,2020-03-31 11:28:18
Walker,13295,0.0,0.0,0.0,0.0,69410.0,0.0,2020-03-31 11:28:18
Walton,13297,6.0,0.0,0.0016,0.0,93503.0,6e-05,2020-03-31 11:28:18
Ware,13299,9.0,0.0,0.0024,0.0,35680.0,0.00025,2020-03-31 11:28:18
Warren,13301,3.0,0.0,0.0008,0.0,5251.0,0.00057,2020-03-31 11:28:18
Washington,13303,2.0,0.0,0.0005,0.0,20386.0,0.0001,2020-03-31 11:28:18
Wayne,13305,0.0,0.0,0.0,0.0,29808.0,0.0,2020-03-31 11:28:18
Webster,13307,1.0,0.0,0.0003,0.0,2611.0,0.00038,2020-03-31 11:28:18
Wheeler,13309,1.0,0.0,0.0003,0.0,7879.0,0.00013,2020-03-31 11:28:18
White,13311,3.0,0.0,0.0008,0.0,29970.0,0.0001,2020-03-31 11:28:18
Whitfield,13313,10.0,1.0,0.0026,0.1,104062.0,0.0001,2020-03-31 11:28:18
Wilcox,13315,1.0,0.0,0.0003,0.0,8812.0,0.00011,2020-03-31 11:28:18
Wilkes,13317,2.0,0.0,0.0005,0.0,9876.0,0.0002,2020-03-31 11:28:18
Wilkinson,13319,1.0,0.0,0.0003,0.0,9036.0,0.00011,2020-03-31 11:28:18
