County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1635.0,52.0,04/13/2020
Dougherty,13095,1245.0,78.0,04/13/2020
Dekalb,13089,1006.0,15.0,04/13/2020
Cobb,13067,816.0,36.0,04/13/2020
Gwinnett,13135,766.0,24.0,04/13/2020
Clayton,13063,396.0,12.0,04/13/2020
Hall,13139,319.0,0.0,04/13/2020
Henry,13151,289.0,4.0,04/13/2020
Lee,13177,255.0,15.0,04/13/2020
Sumter,13261,251.0,9.0,04/13/2020
Carroll,13045,229.0,5.0,04/13/2020
Bartow,13015,223.0,17.0,04/13/2020
Cherokee,13057,204.0,7.0,04/13/2020
Douglas,13097,177.0,5.0,04/13/2020
Muscogee,13215,167.0,4.0,04/13/2020
Richmond,13245,156.0,6.0,04/13/2020
Chatham,13051,154.0,5.0,04/13/2020
Mitchell,13205,150.0,16.0,04/13/2020
Forsyth,13117,143.0,5.0,04/13/2020
Houston,13153,129.0,8.0,04/13/2020
Early,13099,128.0,6.0,04/13/2020
Randolph,13243,122.0,6.0,04/13/2020
Upson,13293,122.0,3.0,04/13/2020
Coweta,13077,121.0,2.0,04/13/2020
Floyd,13115,118.0,6.0,04/13/2020
Terrell,13273,118.0,10.0,04/13/2020
Fayette,13113,106.0,5.0,04/13/2020
Rockdale,13247,101.0,4.0,04/13/2020
Paulding,13223,100.0,4.0,04/13/2020
Worth,13321,96.0,4.0,04/13/2020
Newton,13217,93.0,3.0,04/13/2020
Clarke,13059,88.0,12.0,04/13/2020
Colquitt,13071,88.0,5.0,04/13/2020
Crisp,13081,79.0,1.0,04/13/2020
Spalding,13255,78.0,4.0,04/13/2020
Thomas,13275,78.0,4.0,04/13/2020
Bibb,13021,73.0,1.0,04/13/2020
Columbia,13073,71.0,0.0,04/13/2020
Lowndes,13185,66.0,2.0,04/13/2020
Tift,13277,66.0,1.0,04/13/2020
Troup,13285,62.0,3.0,04/13/2020
Coffee,13069,60.0,3.0,04/13/2020
Ware,13299,58.0,4.0,04/13/2020
Barrow,13013,57.0,3.0,04/13/2020
Baldwin,13009,54.0,2.0,04/13/2020
Calhoun,13037,53.0,2.0,04/13/2020
Dooly,13093,51.0,2.0,04/13/2020
Pierce,13229,45.0,2.0,04/13/2020
Walton,13297,45.0,2.0,04/13/2020
Gordon,13129,41.0,3.0,04/13/2020
Turner,13287,40.0,1.0,04/13/2020
Decatur,13087,39.0,0.0,04/13/2020
Oconee,13219,39.0,0.0,04/13/2020
Glynn,13127,38.0,0.0,04/13/2020
Laurens,13175,35.0,1.0,04/13/2020
Dawson,13085,32.0,2.0,04/13/2020
Bryan,13029,30.0,2.0,04/13/2020
Butts,13035,30.0,0.0,04/13/2020
Greene,13133,30.0,1.0,04/13/2020
Jackson,13157,29.0,1.0,04/13/2020
Macon,13193,29.0,0.0,04/13/2020
Burke,13033,28.0,2.0,04/13/2020
Mcduffie,13189,28.0,2.0,04/13/2020
Whitfield,13313,28.0,3.0,04/13/2020
Polk,13233,25.0,0.0,04/13/2020
Peach,13225,24.0,2.0,04/13/2020
Wilcox,13315,24.0,0.0,04/13/2020
Effingham,13103,23.0,1.0,04/13/2020
Meriwether,13199,23.0,0.0,04/13/2020
Camden,13039,22.0,0.0,04/13/2020
Harris,13145,22.0,1.0,04/13/2020
Washington,13303,22.0,0.0,04/13/2020
Johnson,13167,20.0,1.0,04/13/2020
Liberty,13179,20.0,0.0,04/13/2020
Stephens,13257,20.0,0.0,04/13/2020
Brooks,13027,19.0,1.0,04/13/2020
Habersham,13137,19.0,1.0,04/13/2020
Pike,13231,19.0,0.0,04/13/2020
Bulloch,13031,18.0,1.0,04/13/2020
Grady,13131,18.0,0.0,04/13/2020
Haralson,13143,18.0,1.0,04/13/2020
Lamar,13171,18.0,0.0,04/13/2020
Baker,13007,16.0,2.0,04/13/2020
Clay,13061,16.0,1.0,04/13/2020
Seminole,13253,16.0,1.0,04/13/2020
Dodge,13091,15.0,0.0,04/13/2020
Marion,13197,15.0,0.0,04/13/2020
Morgan,13211,15.0,0.0,04/13/2020
Murray,13213,15.0,0.0,04/13/2020
Bacon,13005,14.0,0.0,04/13/2020
Appling,13001,13.0,0.0,04/13/2020
Catoosa,13047,13.0,0.0,04/13/2020
Miller,13201,13.0,0.0,04/13/2020
Oglethorpe,13221,13.0,1.0,04/13/2020
Fannin,13111,12.0,0.0,04/13/2020
Irwin,13155,12.0,0.0,04/13/2020
Jones,13169,12.0,0.0,04/13/2020
Monroe,13207,12.0,1.0,04/13/2020
Schley,13249,12.0,1.0,04/13/2020
Toombs,13279,12.0,1.0,04/13/2020
Brantley,13025,11.0,1.0,04/13/2020
Jenkins,13165,11.0,1.0,04/13/2020
Madison,13195,11.0,1.0,04/13/2020
Pickens,13227,11.0,2.0,04/13/2020
Pulaski,13235,11.0,1.0,04/13/2020
Telfair,13271,11.0,0.0,04/13/2020
White,13311,11.0,0.0,04/13/2020
Wilkinson,13319,11.0,1.0,04/13/2020
Lumpkin,13187,10.0,0.0,04/13/2020
Ben Hill,13017,9.0,0.0,04/13/2020
Emanuel,13107,9.0,0.0,04/13/2020
Jasper,13159,9.0,0.0,04/13/2020
Lincoln,13181,9.0,0.0,04/13/2020
Talbot,13263,9.0,1.0,04/13/2020
Taylor,13269,9.0,2.0,04/13/2020
Stewart,13259,8.0,0.0,04/13/2020
Banks,13011,7.0,0.0,04/13/2020
Chattooga,13055,7.0,1.0,04/13/2020
Cook,13075,7.0,0.0,04/13/2020
Gilmer,13123,7.0,0.0,04/13/2020
Jefferson,13163,7.0,1.0,04/13/2020
Putnam,13237,7.0,0.0,04/13/2020
Rabun,13241,7.0,0.0,04/13/2020
Screven,13251,7.0,0.0,04/13/2020
Union,13291,7.0,1.0,04/13/2020
Walker,13295,7.0,0.0,04/13/2020
Warren,13301,7.0,0.0,04/13/2020
Wilkes,13317,7.0,0.0,04/13/2020
Berrien,13019,6.0,0.0,04/13/2020
Clinch,13065,6.0,0.0,04/13/2020
Elbert,13105,6.0,0.0,04/13/2020
Hart,13147,5.0,0.0,04/13/2020
Lanier,13173,5.0,0.0,04/13/2020
Tattnall,13267,5.0,0.0,04/13/2020
Wayne,13305,5.0,0.0,04/13/2020
Candler,13043,4.0,0.0,04/13/2020
Charlton,13049,4.0,0.0,04/13/2020
Chattahoochee,13053,4.0,0.0,04/13/2020
Franklin,13119,4.0,0.0,04/13/2020
Heard,13149,4.0,1.0,04/13/2020
Bleckley,13023,3.0,0.0,04/13/2020
Crawford,13079,3.0,0.0,04/13/2020
Dade,13083,3.0,1.0,04/13/2020
Hancock,13141,3.0,0.0,04/13/2020
Mcintosh,13191,3.0,0.0,04/13/2020
Quitman,13239,3.0,0.0,04/13/2020
Towns,13281,3.0,0.0,04/13/2020
Webster,13307,3.0,0.0,04/13/2020
Wheeler,13309,3.0,0.0,04/13/2020
Atkinson,13003,2.0,0.0,04/13/2020
Echols,13101,2.0,0.0,04/13/2020
Evans,13109,2.0,0.0,04/13/2020
Montgomery,13209,2.0,0.0,04/13/2020
Twiggs,13289,2.0,0.0,04/13/2020
Jeff Davis,13161,1.0,0.0,04/13/2020
Long,13183,1.0,0.0,04/13/2020
Treutlen,13283,1.0,0.0,04/13/2020
Unknown,0,560.0,0.0,04/13/2020
Non-Georgia Resident,0,496.0,1.0,04/13/2020
Glascock,13125,,,04/13/2020
Taliaferro,13265,,,04/13/2020
