Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,174.32,0.01,174.32,0.01,0.0,0.0,04/17/2020
18-59,10633.52,0.61,10528.52,0.63,105.0,0.16,04/17/2020
60+,5926.88,0.34,5366.88,0.32,560.0,0.84,04/17/2020
Unknown,697.28,0.04,694.28,0.04,3.0,0.0,04/17/2020
