Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,2365.38,0.51,57,2020-04-01 11:28:26
Male,2133.48,0.46,76,2020-04-01 11:28:26
Unknown,139.14,0.03,6,2020-04-01 11:28:26
