Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,46.38,0.01,,,,,2020-04-01 11:28:26
18-59,2690.04,0.58,2662.04,0.59,28.0,0.2,2020-04-01 11:28:26
60+,1623.3,0.35,1522.3,0.34,101.0,0.73,2020-04-01 11:28:26
Unknown,278.28,0.06,268.28,0.06,10.0,0.07,2020-04-01 11:28:26
