Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,469.62,0.02,469.62,0.02,0.0,0.0,04/26/2020
18-59,14558.22,0.62,14417.22,0.64,141.0,0.15,04/26/2020
60+,7983.54,0.34,7209.54,0.32,774.0,0.84,04/26/2020
Unknown,469.62,0.02,468.62,0.02,1.0,0.0,04/26/2020
