Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,58.31,0.01,,,,,2020-04-03 11:28:41
18-59,3440.29,0.59,3407.29,0.6,33.0,0.18,2020-04-03 11:28:41
60+,2099.16,0.36,1958.16,0.35,141.0,0.77,2020-04-03 11:28:41
Unknown,233.24,0.04,223.24,0.04,10.0,0.05,2020-04-03 11:28:41
