County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Appling,13001,3.0,0.0,0.0005,0.0,18507.0,0.00016,16.0,0.0,0.0,2020-04-03 11:28:41
Atkinson,13003,0.0,0.0,0.0,0.0,8297.0,0.0,0.0,0.0,0.0,2020-04-03 11:28:41
Bacon,13005,6.0,0.0,0.001,0.0,11185.0,0.00054,54.0,0.0,0.0,2020-04-03 11:28:41
Baker,13007,4.0,1.0,0.0007,0.25,3092.0,0.00129,129.0,32.0,25.0,2020-04-03 11:28:41
Baldwin,13009,10.0,1.0,0.0017,0.1,44823.0,0.00022,22.0,2.0,10.0,2020-04-03 11:28:41
Banks,13011,3.0,0.0,0.0005,0.0,18988.0,0.00016,16.0,0.0,0.0,2020-04-03 11:28:41
Barrow,13013,21.0,2.0,0.0036,0.0952,80809.0,0.00026,26.0,2.0,10.0,2020-04-03 11:28:41
Bartow,13015,154.0,3.0,0.0264,0.0195,106408.0,0.00145,145.0,3.0,2.0,2020-04-03 11:28:41
Ben Hill,13017,3.0,0.0,0.0005,0.0,16787.0,0.00018,18.0,0.0,0.0,2020-04-03 11:28:41
Berrien,13019,3.0,0.0,0.0005,0.0,19252.0,0.00016,16.0,0.0,0.0,2020-04-03 11:28:41
Bibb,13021,32.0,1.0,0.0055,0.0312,153095.0,0.00021,21.0,1.0,3.0,2020-04-03 11:28:41
Bleckley,13023,1.0,0.0,0.0002,0.0,12838.0,8e-05,8.0,0.0,0.0,2020-04-03 11:28:41
Brantley,13025,0.0,0.0,0.0,0.0,18897.0,0.0,0.0,0.0,0.0,2020-04-03 11:28:41
Brooks,13027,5.0,0.0,0.0009,0.0,15513.0,0.00032,32.0,0.0,0.0,2020-04-03 11:28:41
Bryan,13029,12.0,1.0,0.0021,0.0833,38109.0,0.00031,31.0,3.0,8.0,2020-04-03 11:28:41
Bulloch,13031,5.0,0.0,0.0009,0.0,77296.0,6e-05,6.0,0.0,0.0,2020-04-03 11:28:41
Burke,13033,8.0,0.0,0.0014,0.0,22423.0,0.00036,36.0,0.0,0.0,2020-04-03 11:28:41
Butts,13035,9.0,0.0,0.0015,0.0,24193.0,0.00037,37.0,0.0,0.0,2020-04-03 11:28:41
Calhoun,13037,10.0,1.0,0.0017,0.1,6352.0,0.00157,157.0,16.0,10.0,2020-04-03 11:28:41
Camden,13039,6.0,0.0,0.001,0.0,53677.0,0.00011,11.0,0.0,0.0,2020-04-03 11:28:41
Candler,13043,1.0,0.0,0.0002,0.0,10836.0,9e-05,9.0,0.0,0.0,2020-04-03 11:28:41
Carroll,13045,143.0,2.0,0.0245,0.014,118121.0,0.00121,121.0,2.0,1.0,2020-04-03 11:28:41
Catoosa,13047,6.0,0.0,0.001,0.0,67420.0,9e-05,9.0,0.0,0.0,2020-04-03 11:28:41
Charlton,13049,1.0,0.0,0.0002,0.0,12968.0,8e-05,8.0,0.0,0.0,2020-04-03 11:28:41
Chatham,13051,58.0,3.0,0.0099,0.0517,289195.0,0.0002,20.0,1.0,5.0,2020-04-03 11:28:41
Chattahoochee,13053,2.0,0.0,0.0003,0.0,10684.0,0.00019,19.0,0.0,0.0,2020-04-03 11:28:41
Chattooga,13055,3.0,0.0,0.0005,0.0,24790.0,0.00012,12.0,0.0,0.0,2020-04-03 11:28:41
Cherokee,13057,104.0,5.0,0.0178,0.0481,254149.0,0.00041,41.0,2.0,5.0,2020-04-03 11:28:41
Clarke,13059,57.0,8.0,0.0098,0.1404,127330.0,0.00045,45.0,6.0,14.0,2020-04-03 11:28:41
Clay,13061,7.0,0.0,0.0012,0.0,2887.0,0.00242,242.0,0.0,0.0,2020-04-03 11:28:41
Clayton,13063,195.0,6.0,0.0334,0.0308,289615.0,0.00067,67.0,2.0,3.0,2020-04-03 11:28:41
Clinch,13065,2.0,0.0,0.0003,0.0,6648.0,0.0003,30.0,0.0,0.0,2020-04-03 11:28:41
Cobb,13067,381.0,18.0,0.0653,0.0472,756865.0,0.0005,50.0,2.0,5.0,2020-04-03 11:28:41
Coffee,13069,15.0,0.0,0.0026,0.0,43093.0,0.00035,35.0,0.0,0.0,2020-04-03 11:28:41
Colquitt,13071,34.0,2.0,0.0058,0.0588,45592.0,0.00075,75.0,4.0,6.0,2020-04-03 11:28:41
Columbia,13073,32.0,0.0,0.0055,0.0,154291.0,0.00021,21.0,0.0,0.0,2020-04-03 11:28:41
Cook,13075,1.0,0.0,0.0002,0.0,17162.0,6e-05,6.0,0.0,0.0,2020-04-03 11:28:41
Coweta,13077,53.0,2.0,0.0091,0.0377,145864.0,0.00036,36.0,1.0,4.0,2020-04-03 11:28:41
Crawford,13079,0.0,0.0,0.0,0.0,12318.0,0.0,0.0,0.0,0.0,2020-04-03 11:28:41
Crisp,13081,23.0,0.0,0.0039,0.0,22601.0,0.00102,102.0,0.0,0.0,2020-04-03 11:28:41
Dade,13083,1.0,1.0,0.0002,1.0,16226.0,6e-05,6.0,6.0,100.0,2020-04-03 11:28:41
Dawson,13085,13.0,0.0,0.0022,0.0,25083.0,0.00052,52.0,0.0,0.0,2020-04-03 11:28:41
Decatur,13087,12.0,0.0,0.0021,0.0,26575.0,0.00045,45.0,0.0,0.0,2020-04-03 11:28:41
Dekalb,13089,448.0,8.0,0.0768,0.0179,756558.0,0.00059,59.0,1.0,2.0,2020-04-03 11:28:41
Dodge,13091,5.0,0.0,0.0009,0.0,20705.0,0.00024,24.0,0.0,0.0,2020-04-03 11:28:41
Dooly,13093,12.0,0.0,0.0021,0.0,13706.0,0.00088,88.0,0.0,0.0,2020-04-03 11:28:41
Dougherty,13095,560.0,30.0,0.096,0.0536,91243.0,0.00614,614.0,33.0,5.0,2020-04-03 11:28:41
Douglas,13097,71.0,4.0,0.0122,0.0563,145331.0,0.00049,49.0,3.0,6.0,2020-04-03 11:28:41
Early,13099,48.0,1.0,0.0082,0.0208,10247.0,0.00468,468.0,10.0,2.0,2020-04-03 11:28:41
Echols,13101,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,2020-04-03 11:28:41
Effingham,13103,6.0,0.0,0.001,0.0,62190.0,0.0001,10.0,0.0,0.0,2020-04-03 11:28:41
