Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,59.67,0.01,59.67,0.01,0,0,03/04/2020 18:28
18-59,3520.53,0.59,3485.53,0.6,35,0.18,03/04/2020 18:28
60+,2088.45,0.35,1937.45,0.34,151,0.76,03/04/2020 18:28
Unknown,298.35,0.05,286.35,0.05,12,0.06,03/04/2020 18:28
