County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1945.0,66.0,04/16/2020
Dougherty,13095,1358.0,88.0,04/16/2020
Dekalb,13089,1260.0,21.0,04/16/2020
Cobb,13067,1014.0,49.0,04/16/2020
Gwinnett,13135,917.0,32.0,04/16/2020
Hall,13139,526.0,5.0,04/16/2020
Clayton,13063,473.0,13.0,04/16/2020
Henry,13151,330.0,5.0,04/16/2020
Sumter,13261,292.0,14.0,04/16/2020
Lee,13177,267.0,15.0,04/16/2020
Carroll,13045,258.0,7.0,04/16/2020
Cherokee,13057,245.0,8.0,04/16/2020
Bartow,13015,240.0,22.0,04/16/2020
Richmond,13245,231.0,9.0,04/16/2020
Douglas,13097,209.0,6.0,04/16/2020
Muscogee,13215,200.0,4.0,04/16/2020
Mitchell,13205,193.0,22.0,04/16/2020
Bibb,13021,179.0,1.0,04/16/2020
Chatham,13051,170.0,5.0,04/16/2020
Forsyth,13117,169.0,5.0,04/16/2020
Houston,13153,158.0,9.0,04/16/2020
Early,13099,148.0,8.0,04/16/2020
Upson,13293,143.0,6.0,04/16/2020
Coweta,13077,142.0,3.0,04/16/2020
Terrell,13273,137.0,12.0,04/16/2020
Randolph,13243,135.0,11.0,04/16/2020
Fayette,13113,126.0,5.0,04/16/2020
Paulding,13223,123.0,5.0,04/16/2020
Floyd,13115,122.0,6.0,04/16/2020
Spalding,13255,122.0,5.0,04/16/2020
Newton,13217,115.0,3.0,04/16/2020
Worth,13321,114.0,4.0,04/16/2020
Thomas,13275,112.0,14.0,04/16/2020
Rockdale,13247,111.0,6.0,04/16/2020
Colquitt,13071,105.0,5.0,04/16/2020
Crisp,13081,104.0,1.0,04/16/2020
Clarke,13059,102.0,12.0,04/16/2020
Baldwin,13009,100.0,2.0,04/16/2020
Columbia,13073,87.0,0.0,04/16/2020
Barrow,13013,81.0,3.0,04/16/2020
Lowndes,13185,79.0,3.0,04/16/2020
Tift,13277,79.0,4.0,04/16/2020
Troup,13285,77.0,4.0,04/16/2020
Ware,13299,76.0,5.0,04/16/2020
Coffee,13069,72.0,3.0,04/16/2020
Dooly,13093,64.0,4.0,04/16/2020
Calhoun,13037,59.0,2.0,04/16/2020
Habersham,13137,57.0,2.0,04/16/2020
Walton,13297,56.0,3.0,04/16/2020
Decatur,13087,55.0,0.0,04/16/2020
Gordon,13129,50.0,5.0,04/16/2020
Pierce,13229,49.0,2.0,04/16/2020
Turner,13287,49.0,1.0,04/16/2020
Glynn,13127,45.0,0.0,04/16/2020
Oconee,13219,45.0,0.0,04/16/2020
Jackson,13157,43.0,1.0,04/16/2020
Macon,13193,42.0,0.0,04/16/2020
Greene,13133,40.0,1.0,04/16/2020
Dawson,13085,39.0,2.0,04/16/2020
Butts,13035,38.0,0.0,04/16/2020
Laurens,13175,38.0,1.0,04/16/2020
Burke,13033,35.0,2.0,04/16/2020
Mcduffie,13189,35.0,2.0,04/16/2020
Meriwether,13199,35.0,0.0,04/16/2020
Harris,13145,34.0,1.0,04/16/2020
Whitfield,13313,34.0,3.0,04/16/2020
Wilcox,13315,34.0,0.0,04/16/2020
Johnson,13167,33.0,1.0,04/16/2020
Oglethorpe,13221,32.0,1.0,04/16/2020
Bryan,13029,30.0,2.0,04/16/2020
Peach,13225,30.0,2.0,04/16/2020
Pike,13231,28.0,1.0,04/16/2020
Polk,13233,28.0,0.0,04/16/2020
Stephens,13257,28.0,0.0,04/16/2020
Camden,13039,26.0,0.0,04/16/2020
Grady,13131,26.0,1.0,04/16/2020
Liberty,13179,26.0,0.0,04/16/2020
Effingham,13103,24.0,1.0,04/16/2020
Bulloch,13031,23.0,1.0,04/16/2020
Washington,13303,23.0,0.0,04/16/2020
Brooks,13027,22.0,2.0,04/16/2020
Lamar,13171,21.0,0.0,04/16/2020
Seminole,13253,21.0,1.0,04/16/2020
Marion,13197,20.0,0.0,04/16/2020
Miller,13201,20.0,0.0,04/16/2020
White,13311,20.0,0.0,04/16/2020
Clay,13061,19.0,2.0,04/16/2020
Dodge,13091,19.0,0.0,04/16/2020
Haralson,13143,19.0,1.0,04/16/2020
Lumpkin,13187,19.0,0.0,04/16/2020
Morgan,13211,19.0,0.0,04/16/2020
Baker,13007,18.0,2.0,04/16/2020
Catoosa,13047,18.0,0.0,04/16/2020
Wilkinson,13319,18.0,1.0,04/16/2020
Appling,13001,17.0,0.0,04/16/2020
Bacon,13005,17.0,1.0,04/16/2020
Murray,13213,17.0,0.0,04/16/2020
Toombs,13279,17.0,2.0,04/16/2020
Brantley,13025,16.0,1.0,04/16/2020
Pulaski,13235,16.0,1.0,04/16/2020
Jones,13169,15.0,0.0,04/16/2020
Monroe,13207,15.0,1.0,04/16/2020
Pickens,13227,15.0,2.0,04/16/2020
Talbot,13263,15.0,1.0,04/16/2020
Fannin,13111,14.0,0.0,04/16/2020
Madison,13195,14.0,1.0,04/16/2020
Putnam,13237,14.0,0.0,04/16/2020
Schley,13249,14.0,1.0,04/16/2020
Banks,13011,13.0,0.0,04/16/2020
Irwin,13155,13.0,0.0,04/16/2020
Telfair,13271,13.0,0.0,04/16/2020
Walker,13295,13.0,0.0,04/16/2020
Crawford,13079,12.0,0.0,04/16/2020
Emanuel,13107,12.0,0.0,04/16/2020
Jenkins,13165,12.0,1.0,04/16/2020
Stewart,13259,12.0,0.0,04/16/2020
Cook,13075,11.0,1.0,04/16/2020
Jefferson,13163,11.0,1.0,04/16/2020
Screven,13251,11.0,1.0,04/16/2020
Taylor,13269,11.0,3.0,04/16/2020
Wilkes,13317,11.0,0.0,04/16/2020
Ben Hill,13017,10.0,0.0,04/16/2020
Berrien,13019,10.0,0.0,04/16/2020
Franklin,13119,10.0,0.0,04/16/2020
Jasper,13159,10.0,0.0,04/16/2020
Towns,13281,10.0,0.0,04/16/2020
