Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,163.68,0.01,163.68,0.01,0.0,0.0,04/16/2020
18-59,9984.48,0.61,9886.48,0.63,98.0,0.16,04/16/2020
60+,5728.8,0.35,5211.8,0.33,517.0,0.84,04/16/2020
Unknown,491.04,0.03,489.04,0.03,2.0,0.0,04/16/2020
