County,fips,TotalCases,TotalDeaths,Date
Chattooga,13055,13.0,1.0,04/27/2020
Jeff Davis,13161,13.0,1.0,04/27/2020
Warren,13301,12.0,0.0,04/27/2020
Wayne,13305,11.0,0.0,04/27/2020
Heard,13149,10.0,1.0,04/27/2020
Lincoln,13181,10.0,0.0,04/27/2020
Bleckley,13023,9.0,0.0,04/27/2020
Chattahoochee,13053,9.0,0.0,04/27/2020
Hart,13147,9.0,0.0,04/27/2020
Rabun,13241,9.0,0.0,04/27/2020
Webster,13307,9.0,2.0,04/27/2020
Candler,13043,8.0,0.0,04/27/2020
Lanier,13173,8.0,1.0,04/27/2020
Atkinson,13003,7.0,0.0,04/27/2020
Charlton,13049,7.0,0.0,04/27/2020
Clinch,13065,7.0,0.0,04/27/2020
Tattnall,13267,7.0,0.0,04/27/2020
Twiggs,13289,7.0,0.0,04/27/2020
Echols,13101,5.0,0.0,04/27/2020
Evans,13109,4.0,0.0,04/27/2020
Mcintosh,13191,4.0,0.0,04/27/2020
Long,13183,3.0,0.0,04/27/2020
Quitman,13239,3.0,1.0,04/27/2020
Wheeler,13309,3.0,0.0,04/27/2020
Montgomery,13209,2.0,0.0,04/27/2020
Treutlen,13283,2.0,0.0,04/27/2020
Unknown,0,633.0,1.0,04/27/2020
Non-Georgia Resident,0,1027.0,10.0,04/27/2020
Glascock,13125,,,04/27/2020
Taliaferro,13265,,,04/27/2020
