County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2468.0,90.0,04/24/2020
Dekalb,13089,1709.0,35.0,04/24/2020
Dougherty,13095,1487.0,108.0,04/24/2020
Gwinnett,13135,1366.0,46.0,04/24/2020
Cobb,13067,1343.0,69.0,04/24/2020
Hall,13139,984.0,9.0,04/24/2020
Clayton,13063,623.0,21.0,04/24/2020
Henry,13151,418.0,10.0,04/24/2020
Cherokee,13057,365.0,10.0,04/24/2020
Richmond,13245,344.0,14.0,04/24/2020
Sumter,13261,344.0,21.0,04/24/2020
Carroll,13045,317.0,11.0,04/24/2020
Lee,13177,298.0,19.0,04/24/2020
Mitchell,13205,290.0,24.0,04/24/2020
Douglas,13097,274.0,8.0,04/24/2020
Bartow,13015,265.0,28.0,04/24/2020
Muscogee,13215,258.0,4.0,04/24/2020
Forsyth,13117,240.0,8.0,04/24/2020
Bibb,13021,236.0,5.0,04/24/2020
Houston,13153,203.0,13.0,04/24/2020
Chatham,13051,200.0,6.0,04/24/2020
Upson,13293,193.0,14.0,04/24/2020
Early,13099,184.0,15.0,04/24/2020
Coweta,13077,182.0,4.0,04/24/2020
Terrell,13273,165.0,17.0,04/24/2020
Baldwin,13009,164.0,4.0,04/24/2020
Colquitt,13071,163.0,6.0,04/24/2020
Rockdale,13247,158.0,6.0,04/24/2020
Thomas,13275,158.0,16.0,04/24/2020
Fayette,13113,156.0,8.0,04/24/2020
Habersham,13137,156.0,3.0,04/24/2020
Newton,13217,155.0,6.0,04/24/2020
Paulding,13223,153.0,7.0,04/24/2020
Randolph,13243,151.0,18.0,04/24/2020
Crisp,13081,144.0,2.0,04/24/2020
Spalding,13255,141.0,8.0,04/24/2020
Worth,13321,141.0,9.0,04/24/2020
Columbia,13073,133.0,2.0,04/24/2020
Floyd,13115,129.0,10.0,04/24/2020
Clarke,13059,127.0,13.0,04/24/2020
Lowndes,13185,127.0,4.0,04/24/2020
Butts,13035,125.0,2.0,04/24/2020
Troup,13285,118.0,4.0,04/24/2020
Barrow,13013,107.0,3.0,04/24/2020
Ware,13299,103.0,8.0,04/24/2020
Tift,13277,97.0,3.0,04/24/2020
Coffee,13069,95.0,4.0,04/24/2020
Dooly,13093,88.0,7.0,04/24/2020
Walton,13297,83.0,3.0,04/24/2020
Calhoun,13037,82.0,3.0,04/24/2020
Gordon,13129,73.0,10.0,04/24/2020
Jackson,13157,73.0,1.0,04/24/2020
Macon,13193,66.0,2.0,04/24/2020
Burke,13033,64.0,3.0,04/24/2020
Wilcox,13315,64.0,6.0,04/24/2020
Decatur,13087,62.0,1.0,04/24/2020
Turner,13287,60.0,6.0,04/24/2020
Whitfield,13313,60.0,4.0,04/24/2020
Walker,13295,59.0,0.0,04/24/2020
Harris,13145,55.0,2.0,04/24/2020
Oconee,13219,54.0,0.0,04/24/2020
Glynn,13127,52.0,1.0,04/24/2020
Pierce,13229,52.0,2.0,04/24/2020
Appling,13001,51.0,4.0,04/24/2020
Dawson,13085,51.0,1.0,04/24/2020
Greene,13133,50.0,1.0,04/24/2020
Stephens,13257,50.0,1.0,04/24/2020
Laurens,13175,49.0,1.0,04/24/2020
Grady,13131,48.0,3.0,04/24/2020
Meriwether,13199,48.0,0.0,04/24/2020
Catoosa,13047,46.0,0.0,04/24/2020
