Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,442.94,0.02,442.94,0.02,0.0,0.0,04/24/2020
18-59,13731.14,0.62,13593.14,0.64,138.0,0.15,04/24/2020
60+,7529.98,0.34,6777.98,0.32,752.0,0.84,04/24/2020
Unknown,442.94,0.02,440.94,0.02,2.0,0.0,04/24/2020
