County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,1812.0,60.0,04/14/2020
Dougherty,13095,1297.0,78.0,04/14/2020
Dekalb,13089,1144.0,15.0,04/14/2020
Cobb,13067,895.0,41.0,04/14/2020
Gwinnett,13135,815.0,29.0,04/14/2020
Clayton,13063,435.0,12.0,04/14/2020
Hall,13139,363.0,0.0,04/14/2020
Henry,13151,306.0,4.0,04/14/2020
Sumter,13261,269.0,12.0,04/14/2020
Lee,13177,258.0,15.0,04/14/2020
Carroll,13045,235.0,6.0,04/14/2020
Bartow,13015,230.0,17.0,04/14/2020
Cherokee,13057,219.0,7.0,04/14/2020
Douglas,13097,189.0,6.0,04/14/2020
Muscogee,13215,175.0,4.0,04/14/2020
Mitchell,13205,164.0,19.0,04/14/2020
Richmond,13245,162.0,7.0,04/14/2020
Chatham,13051,157.0,5.0,04/14/2020
Forsyth,13117,153.0,5.0,04/14/2020
Houston,13153,138.0,9.0,04/14/2020
Early,13099,137.0,6.0,04/14/2020
Coweta,13077,135.0,2.0,04/14/2020
Terrell,13273,134.0,11.0,04/14/2020
Randolph,13243,131.0,6.0,04/14/2020
Upson,13293,128.0,5.0,04/14/2020
Floyd,13115,120.0,6.0,04/14/2020
Fayette,13113,115.0,5.0,04/14/2020
Paulding,13223,115.0,4.0,04/14/2020
Rockdale,13247,106.0,5.0,04/14/2020
Newton,13217,100.0,3.0,04/14/2020
Worth,13321,99.0,4.0,04/14/2020
Clarke,13059,95.0,12.0,04/14/2020
Bibb,13021,91.0,1.0,04/14/2020
Thomas,13275,89.0,5.0,04/14/2020
Colquitt,13071,88.0,5.0,04/14/2020
Crisp,13081,83.0,1.0,04/14/2020
Spalding,13255,83.0,4.0,04/14/2020
Columbia,13073,75.0,0.0,04/14/2020
Tift,13277,71.0,1.0,04/14/2020
Lowndes,13185,70.0,3.0,04/14/2020
Baldwin,13009,69.0,2.0,04/14/2020
Troup,13285,68.0,4.0,04/14/2020
Barrow,13013,65.0,3.0,04/14/2020
Coffee,13069,64.0,3.0,04/14/2020
Ware,13299,64.0,4.0,04/14/2020
Calhoun,13037,54.0,2.0,04/14/2020
Walton,13297,52.0,3.0,04/14/2020
Dooly,13093,51.0,2.0,04/14/2020
Macon,13193,47.0,0.0,04/14/2020
Pierce,13229,47.0,2.0,04/14/2020
Decatur,13087,46.0,0.0,04/14/2020
Gordon,13129,45.0,3.0,04/14/2020
Oconee,13219,42.0,0.0,04/14/2020
Turner,13287,41.0,1.0,04/14/2020
Glynn,13127,40.0,0.0,04/14/2020
Dawson,13085,36.0,2.0,04/14/2020
Butts,13035,35.0,0.0,04/14/2020
Laurens,13175,35.0,1.0,04/14/2020
Jackson,13157,32.0,1.0,04/14/2020
Greene,13133,31.0,1.0,04/14/2020
Bryan,13029,30.0,2.0,04/14/2020
Mcduffie,13189,30.0,2.0,04/14/2020
Whitfield,13313,29.0,3.0,04/14/2020
Burke,13033,28.0,2.0,04/14/2020
Habersham,13137,28.0,1.0,04/14/2020
Wilcox,13315,28.0,0.0,04/14/2020
Effingham,13103,25.0,1.0,04/14/2020
Polk,13233,25.0,0.0,04/14/2020
Meriwether,13199,24.0,0.0,04/14/2020
Peach,13225,24.0,2.0,04/14/2020
Stephens,13257,24.0,0.0,04/14/2020
Harris,13145,23.0,1.0,04/14/2020
Camden,13039,22.0,0.0,04/14/2020
Pike,13231,22.0,0.0,04/14/2020
Washington,13303,22.0,0.0,04/14/2020
Grady,13131,21.0,1.0,04/14/2020
Liberty,13179,21.0,0.0,04/14/2020
Brooks,13027,20.0,1.0,04/14/2020
Bulloch,13031,20.0,1.0,04/14/2020
Johnson,13167,20.0,1.0,04/14/2020
Lamar,13171,20.0,0.0,04/14/2020
