Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,566.6,0.02,566.6,0.02,0.0,0.0,05/02/2020
18-59,17564.6,0.62,17388.6,0.64,176.0,0.15,05/02/2020
60+,9348.9,0.33,8352.9,0.31,996.0,0.85,05/02/2020
Unknown,849.9,0.03,847.9,0.03,2.0,0.0,05/02/2020
