Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,2421.48,0.51,59,01/04/2020 18:28
Male,2184.08,0.46,83,01/04/2020 18:28
Unknown,142.44,0.03,6,01/04/2020 18:28
,,,,
