Ages,Ages_Total,Ages_Pct,Ages_Infected_Total,Ages_Inf_Pct,Ages_Death_Total,Ages_Death_Pct,Date
 0-17,105.66,0.01,105.66,0.01,0.0,0.0,2020-04-09 11:45:04
18-59,6339.6,0.6,6277.6,0.62,62.0,0.16,2020-04-09 11:45:04
60+,3698.1,0.35,3381.1,0.33,317.0,0.84,2020-04-09 11:45:04
Unknown,422.64,0.04,422.64,0.04,0.0,0.0,2020-04-09 11:45:04
