Gender,Gender_Num,Gender_Pct,nDeaths,Date
Female,5705.64,0.54,153.0,2020-04-09 11:45:04
Male,4649.04,0.44,226.0,2020-04-09 11:45:04
Unknown,211.32,0.02,,2020-04-09 11:45:04
